Sl.No,Fiber Volume Fraction (%),Ply Thickness (mm),Load (N),ModelingPly.1.ply_angle,ModelingPly.2.ply_angle,ModelingPly.3.ply_angle,ModelingPly.4.ply_angle,ModelingPly.5.ply_angle,ModelingPly.6.ply_angle,Laminate Family,E1,E2,E3,G12,G23,G31,nu12,nu13,nu23,Equivalent Stress Maximum (MPa),Shear Stress Maximum-XY [MPa],Normal Stress Maximum-X [MPa],Normal Stress  Maximum-Y[MPa],Equivalent Elastic Strain Maximum (mm/mm),Shear Elastic Strain Maximum-XY [mm mm^-1],Normal Elastic Strain Maximum-X [mm mm^-1],Normal Elastic Strain Maximum-Y[mm mm^-1],Total Deformation Maximum (mm),Inverse Reserve Factor Maximum,Fail Status,Plate Length (mm),Plate Width (mm),Nx_true (N/mm),Ny_true (N/mm),Nxy_true (N/mm)
11,41.0,0.2,3943,0,90,90,90,90,0,Cross-Ply,96365.0,8215.0,8215.0,11837.0,7102.2,11837.0,0.2885,0.2885,0.3472,370.172,93.119661,298.169614,142.857629,0.005288,0.001376,0.00402,0.001985,0.79323,1.558,No Fail,150.0,100.0,39.43,0.0,0.0
12,41.1,0.2,2044,0,90,90,90,90,0,Cross-Ply,96591.5,8226.5,8226.5,11862.7,7117.62,11862.7,0.28835,0.28835,0.34712,180.918,45.89145,146.595004,69.317536,0.002585,0.000675,0.001974,0.000968,0.38768,1.017,No Fail,150.0,100.0,20.44,0.0,0.0
13,41.2,0.2,2678,0,90,90,90,90,0,Cross-Ply,96818.0,8238.0,8238.0,11888.4,7133.04,11888.4,0.2882,0.2882,0.34704,183.155,46.792784,149.247617,69.629755,0.002616,0.000686,0.002007,0.000977,0.39247,1.023,No Fail,150.0,100.0,26.78,0.0,0.0
14,41.3,0.2,1839,0,90,90,90,90,0,Cross-Ply,97044.5,8249.5,8249.5,11914.1,7148.46,11914.1,0.28805,0.28805,0.3469599999999999,186.441,47.917552,152.738523,70.291075,0.002663,0.0007,0.002052,0.000991,0.39952,1.033,No Fail,150.0,100.0,18.39,0.0,0.0
15,41.4,0.2,3613,0,90,90,90,90,0,Cross-Ply,97271.0,8261.0,8261.0,11939.8,7163.879999999999,11939.8,0.2879,0.2879,0.34688,321.052,82.907253,264.339741,119.977772,0.004586,0.00121,0.003548,0.001701,0.68797,1.417,No Fail,150.0,100.0,36.13,0.0,0.0
16,41.5,0.2,4054,0,90,90,90,90,0,Cross-Ply,97497.5,8272.5,8272.5,11965.5,7179.3,11965.5,0.28775,0.28775,0.3468,384.595,99.665779,318.146057,142.395795,0.005494,0.001455,0.004268,0.002031,0.82413,1.599,No Fail,150.0,100.0,40.54,0.0,0.0
17,41.6,0.2,4906,0,90,90,90,90,0,Cross-Ply,97724.0,8284.0,8284.0,11991.200000000004,7194.720000000001,11991.200000000004,0.2875999999999999,0.2875999999999999,0.34672,532.797,138.383375,442.661143,195.363677,0.007611,0.002022,0.005934,0.002804,1.14171,2.022,No Fail,150.0,100.0,49.06,0.0,0.0
18,41.7,0.2,3432,0,90,90,90,90,0,Cross-Ply,97950.5,8295.5,8295.5,12016.9,7210.14,12016.9,0.28745,0.28745,0.34664,359.076,93.355148,299.522204,130.346006,0.00513,0.001368,0.004014,0.001882,0.76945,1.526,No Fail,150.0,100.0,34.32,0.0,0.0
19,41.8,0.2,3665,0,90,90,90,90,0,Cross-Ply,98177.0,8307.0,8307.0,12042.6,7225.56,12042.6,0.2873,0.2873,0.34656,330.275,85.843113,276.498955,118.653064,0.004718,0.001262,0.003703,0.001724,0.70773,1.444,No Fail,150.0,100.0,36.65,0.0,0.0
20,41.9,0.2,3521,0,90,90,90,90,0,Cross-Ply,98403.5,8318.5,8318.5,12068.3,7240.98,12068.3,0.2871499999999999,0.2871499999999999,0.3464799999999999,306.991,79.667634,257.843976,109.120574,0.004386,0.001177,0.003453,0.001596,0.65784,1.377,No Fail,150.0,100.0,35.21,0.0,0.0
21,42.0,0.2,1660,0,90,90,90,90,0,Cross-Ply,98630.0,8330.0,8330.0,12094.0,7256.4,12094.0,0.287,0.287,0.3464,82.167,21.26336,69.211366,28.891269,0.001174,0.000316,0.000927,0.000425,0.17607,0.735,FAIL,150.0,100.0,16.6,0.0,0.0
22,42.1,0.2,2513,0,90,90,90,90,0,Cross-Ply,98856.5,8341.5,8341.5,12119.700000000004,7271.8200000000015,12119.700000000004,0.28685,0.28685,0.3463199999999999,257.615,66.395856,217.53642,89.59111,0.00368,0.000993,0.002913,0.001327,0.55203,1.236,No Fail,150.0,100.0,25.13,0.0,0.0
23,42.2,0.2,2315,0,90,90,90,90,0,Cross-Ply,99083.0,8353.0,8353.0,12145.4,7287.240000000001,12145.4,0.2867,0.2867,0.34624,251.017,64.353704,212.409782,86.334629,0.003586,0.000971,0.002845,0.001287,0.53789,1.217,No Fail,150.0,100.0,23.15,0.0,0.0
24,42.3,0.2,2473,0,90,90,90,90,0,Cross-Ply,99309.5,8364.5,8364.5,12171.1,7302.66,12171.1,0.2865499999999999,0.2865499999999999,0.3461599999999999,269.092,68.540565,228.092155,91.529831,0.003844,0.001043,0.003055,0.001372,0.57662,1.269,No Fail,150.0,100.0,24.73,0.0,0.0
25,42.4,0.2,2777,0,90,90,90,90,0,Cross-Ply,99536.0,8376.0,8376.0,12196.8,7318.079999999999,12196.8,0.2864,0.2864,0.34608,238.642,60.319746,202.54456,80.280469,0.003409,0.000928,0.002714,0.001211,0.51138,1.182,No Fail,150.0,100.0,27.77,0.0,0.0
26,42.5,0.2,2233,0,90,90,90,90,0,Cross-Ply,99762.5,8387.5,8387.5,12222.5,7333.5,12222.5,0.28625,0.28625,0.346,201.928,50.591823,171.5375,67.191146,0.002885,0.000787,0.002301,0.001019,0.4327,1.077,No Fail,150.0,100.0,22.33,0.0,0.0
27,42.6,0.2,4778,0,90,90,90,90,0,Cross-Ply,99989.0,8399.0,8399.0,12248.2,7348.92,12248.2,0.2861,0.2861,0.34592,551.493,136.810524,468.72183,181.547447,0.007878,0.002154,0.00629,0.002768,1.18177,2.076,No Fail,150.0,100.0,47.78,0.0,0.0
28,42.7,0.2,3632,0,90,90,90,90,0,Cross-Ply,100215.5,8410.5,8410.5,12273.9,7364.340000000001,12273.9,0.28595,0.28595,0.34584,349.878,85.849664,297.39098,113.976376,0.004998,0.00137,0.003994,0.001746,0.74974,1.5,No Fail,150.0,100.0,36.32,0.0,0.0
29,42.8,0.2,4052,0,90,90,90,90,0,Cross-Ply,100442.0,8422.0,8422.0,12299.6,7379.76,12299.6,0.2858,0.2858,0.34576,468.266,113.534855,397.889995,151.002382,0.00669,0.001838,0.005349,0.002323,1.00343,1.838,No Fail,150.0,100.0,40.52,0.0,0.0
30,42.9,0.2,2828,0,90,90,90,90,0,Cross-Ply,100668.5,8433.5,8433.5,12325.3,7395.179999999999,12325.3,0.2856499999999999,0.2856499999999999,0.34568,307.739,73.660504,261.297792,98.274981,0.004396,0.00121,0.003516,0.001518,0.65944,1.379,No Fail,150.0,100.0,28.28,0.0,0.0
31,43.0,0.2,3740,0,90,90,90,90,0,Cross-Ply,100895.0,8445.0,8445.0,12351.0,7410.599999999999,12351.0,0.2855,0.2855,0.3456,319.063,75.331636,270.605574,100.951654,0.004558,0.001257,0.003646,0.001564,0.68371,1.412,No Fail,150.0,100.0,37.4,0.0,0.0
32,43.1,0.2,3896,0,90,90,90,90,0,Cross-Ply,101121.5,8456.5,8456.5,12376.7,7426.02,12376.7,0.28535,0.28535,0.34552,396.774,92.334109,335.997453,124.449849,0.005668,0.001566,0.004534,0.001933,0.85023,1.634,No Fail,150.0,100.0,38.96,0.0,0.0
33,43.2,0.2,4216,0,90,90,90,90,0,Cross-Ply,101348.0,8468.0,8468.0,12402.4,7441.44,12402.4,0.2852,0.2852,0.3454399999999999,401.256,91.974499,339.135856,124.839998,0.005732,0.001587,0.004583,0.001943,0.85983,1.646,No Fail,150.0,100.0,42.16,0.0,0.0
34,43.3,0.2,1612,0,90,90,90,90,0,Cross-Ply,101574.5,8479.5,8479.5,12428.1,7456.86,12428.1,0.2850499999999999,0.2850499999999999,0.34536,138.596,31.273467,116.866778,42.801469,0.00198,0.000549,0.001582,0.000667,0.29699,0.896,FAIL,150.0,100.0,16.12,0.0,0.0
35,43.4,0.2,2437,0,90,90,90,90,0,Cross-Ply,101801.0,8491.0,8491.0,12453.8,7472.279999999999,12453.8,0.2849,0.2849,0.34528,236.056,52.410681,198.506511,72.413508,0.003372,0.000936,0.002691,0.001128,0.50584,1.174,No Fail,150.0,100.0,24.37,0.0,0.0
36,43.5,0.2,4800,0,90,90,90,90,0,Cross-Ply,102027.5,8502.5,8502.5,12479.5,7487.7,12479.5,0.28475,0.28475,0.3451999999999999,561.775,122.686836,470.950566,171.320087,0.008025,0.002231,0.006397,0.002668,1.2038,2.105,No Fail,150.0,100.0,48.0,0.0,0.0
37,43.6,0.2,2601,0,90,90,90,90,0,Cross-Ply,102254.0,8514.0,8514.0,12505.2,7503.12,12505.2,0.2846,0.2846,0.34512,183.701,39.453397,153.466872,55.739745,0.002624,0.00073,0.002088,0.000867,0.39364,1.025,No Fail,150.0,100.0,26.01,0.0,0.0
38,43.7,0.2,2885,0,90,90,90,90,0,Cross-Ply,102480.5,8525.5,8525.5,12530.9,7518.540000000001,12530.9,0.28445,0.28445,0.34504,250.264,52.853518,208.272664,75.621341,0.003575,0.000996,0.00284,0.001173,0.53628,1.215,No Fail,150.0,100.0,28.85,0.0,0.0
39,43.8,0.2,3106,0,90,90,90,90,0,Cross-Ply,102707.0,8537.0,8537.0,12556.6,7533.959999999999,12556.6,0.2843,0.2843,0.34496,245.269,50.938748,203.259978,73.872321,0.003504,0.000978,0.002778,0.001142,0.52558,1.201,No Fail,150.0,100.0,31.06,0.0,0.0
40,43.9,0.2,2363,0,90,90,90,90,0,Cross-Ply,102933.5,8548.5,8548.5,12582.3,7549.379999999999,12582.3,0.2841499999999999,0.2841499999999999,0.3448799999999999,232.978,47.593002,192.1978,70.009976,0.003328,0.000929,0.002632,0.001078,0.49924,1.166,No Fail,150.0,100.0,23.63,0.0,0.0
41,44.0,0.2,2420,0,90,90,90,90,0,Cross-Ply,103160.0,8560.0,8560.0,12608.0,7564.799999999999,12608.0,0.284,0.284,0.3448,201.286,40.459854,165.243799,60.406838,0.002876,0.000804,0.002269,0.000925,0.43133,1.075,No Fail,150.0,100.0,24.2,0.0,0.0
42,44.1,0.2,4642,0,90,90,90,90,0,Cross-Ply,103386.5,8571.5,8571.5,12633.7,7580.22,12633.7,0.2838499999999999,0.2838499999999999,0.3447199999999999,491.629,97.288143,401.500692,147.490545,0.007023,0.001964,0.005524,0.002244,1.05349,1.905,No Fail,150.0,100.0,46.42,0.0,0.0
43,44.2,0.2,2268,0,90,90,90,90,0,Cross-Ply,103613.0,8583.0,8583.0,12659.4,7595.639999999999,12659.4,0.2837,0.2837,0.34464,202.605,39.498759,164.551181,60.821754,0.002894,0.00081,0.002269,0.000918,0.43415,1.079,No Fail,150.0,100.0,22.68,0.0,0.0
44,44.3,0.2,3283,0,90,90,90,90,0,Cross-Ply,103839.5,8594.5,8594.5,12685.1,7611.059999999999,12685.1,0.28355,0.28355,0.34456,257.726,49.541772,208.104819,77.495152,0.003682,0.001031,0.002878,0.001161,0.55227,1.236,No Fail,150.0,100.0,32.83,0.0,0.0
45,44.4,0.2,1665,0,90,90,90,90,0,Cross-Ply,104066.0,8606.0,8606.0,12710.8,7626.48,12710.8,0.2834,0.2834,0.34448,163.768,31.071359,131.43277,49.371016,0.00234,0.000655,0.001822,0.000733,0.35093,0.968,FAIL,150.0,100.0,16.65,0.0,0.0
46,44.5,0.2,3696,0,90,90,90,90,0,Cross-Ply,104292.5,8617.5,8617.5,12736.5,7641.9,12736.5,0.28325,0.28325,0.3444,429.406,80.504733,342.435027,129.911365,0.006134,0.001717,0.004759,0.001909,0.92016,1.727,No Fail,150.0,100.0,36.96,0.0,0.0
47,44.6,0.2,2978,0,90,90,90,90,0,Cross-Ply,104519.0,8629.0,8629.0,12762.2,7657.32,12762.2,0.2831,0.2831,0.34432,244.483,45.351417,193.680764,74.295012,0.003493,0.000978,0.002699,0.00108,0.52389,1.199,No Fail,150.0,100.0,29.78,0.0,0.0
48,44.7,0.2,2836,0,90,90,90,90,0,Cross-Ply,104745.5,8640.5,8640.5,12787.9,7672.74,12787.9,0.28295,0.28295,0.34424,321.922,59.170607,253.289116,98.349673,0.004599,0.001288,0.003539,0.001413,0.68983,1.42,No Fail,150.0,100.0,28.36,0.0,0.0
49,44.8,0.2,3352,0,90,90,90,90,0,Cross-Ply,104972.0,8652.0,8652.0,12813.6,7688.159999999999,12813.6,0.2828,0.2828,0.34416,266.963,48.69619,208.570918,82.062416,0.003814,0.001068,0.002922,0.001165,0.57206,1.263,No Fail,150.0,100.0,33.52,0.0,0.0
50,44.9,0.2,4513,0,90,90,90,90,0,Cross-Ply,105198.5,8663.5,8663.5,12839.3,7703.579999999999,12839.3,0.2826499999999999,0.2826499999999999,0.3440799999999999,423.498,76.789638,328.479691,131.084981,0.00605,0.001693,0.004614,0.001836,0.9075,1.71,No Fail,150.0,100.0,45.13,0.0,0.0
51,45.0,0.2,4023,0,90,90,90,90,0,Cross-Ply,105425.0,8675.0,8675.0,12865.0,7719.0,12865.0,0.2825,0.2825,0.344,485.458,87.652378,373.757862,151.416878,0.006935,0.001939,0.005264,0.002092,1.04027,1.887,No Fail,150.0,100.0,40.23,0.0,0.0
52,45.1,0.2,3379,0,90,90,90,90,0,Cross-Ply,105651.5,8686.5,8686.5,12890.7,7734.42,12890.7,0.28235,0.28235,0.34392,312.095,56.21316,238.475535,98.155923,0.004458,0.001246,0.003367,0.001337,0.66877,1.392,No Fail,150.0,100.0,33.79,0.0,0.0
53,45.2,0.2,3743,0,90,90,90,90,0,Cross-Ply,105878.0,8698.0,8698.0,12916.4,7749.839999999999,12916.4,0.2822,0.2822,0.34384,414.903,74.684378,314.607446,131.656115,0.005927,0.001655,0.004454,0.001767,0.88908,1.685,No Fail,150.0,100.0,37.43,0.0,0.0
54,45.3,0.2,3022,0,90,90,90,90,0,Cross-Ply,106104.5,8709.5,8709.5,12942.1,7765.259999999998,12942.1,0.28205,0.28205,0.34376,340.137,61.300726,255.91715,108.953491,0.004859,0.001356,0.003633,0.001441,0.72886,1.472,No Fail,150.0,100.0,30.22,0.0,0.0
55,45.4,0.2,4838,0,90,90,90,90,0,Cross-Ply,106331.0,8721.0,8721.0,12967.799999999996,7780.6799999999985,12967.799999999996,0.2819,0.2819,0.34368,534.771,96.671271,399.213457,172.999728,0.00764,0.00213,0.005681,0.002253,1.14594,2.028,No Fail,150.0,100.0,48.38,0.0,0.0
56,45.5,0.2,2422,0,90,90,90,90,0,Cross-Ply,106557.5,8732.5,8732.5,12993.5,7796.099999999999,12993.5,0.28175,0.28175,0.3436,160.073,29.076145,118.557036,52.318137,0.002287,0.000637,0.001691,0.000671,0.34301,0.957,FAIL,150.0,100.0,24.22,0.0,0.0
57,45.6,0.2,2125,0,90,90,90,90,0,Cross-Ply,106784.0,8744.0,8744.0,13019.2,7811.52,13019.2,0.2816,0.2816,0.34352,170.46,31.165457,125.255128,56.305154,0.002435,0.000677,0.001791,0.000711,0.36527,0.987,FAIL,150.0,100.0,21.25,0.0,0.0
58,45.7,0.2,4547,0,90,90,90,90,0,Cross-Ply,107010.5,8755.5,8755.5,13044.9,7826.94,13044.9,0.28145,0.28145,0.3434399999999999,435.713,80.313641,317.644423,145.485966,0.006224,0.001728,0.004552,0.001809,0.93367,1.745,No Fail,150.0,100.0,45.47,0.0,0.0
59,45.8,0.2,3736,0,90,90,90,90,0,Cross-Ply,107237.0,8767.0,8767.0,13070.6,7842.359999999999,13070.6,0.2813,0.2813,0.34336,409.8,76.270741,296.412551,138.343809,0.005854,0.001623,0.004256,0.001694,0.87814,1.671,No Fail,150.0,100.0,37.36,0.0,0.0
60,45.9,0.2,2035,0,90,90,90,90,0,Cross-Ply,107463.5,8778.5,8778.5,13096.299999999996,7857.779999999998,13096.299999999996,0.28115,0.28115,0.34328,144.228,27.141816,103.511099,49.231854,0.00206,0.00057,0.001489,0.000593,0.30906,0.912,FAIL,150.0,100.0,20.35,0.0,0.0
61,46.0,0.2,3388,0,90,90,90,90,0,Cross-Ply,107690.0,8790.0,8790.0,13122.0,7873.2,13122.0,0.281,0.281,0.3432,302.542,57.640147,215.465257,104.424606,0.004322,0.001194,0.003106,0.00124,0.6483,1.364,No Fail,150.0,100.0,33.88,0.0,0.0
62,46.1,0.2,3356,0,90,90,90,90,0,Cross-Ply,107916.5,8801.5,8801.5,13147.7,7888.62,13147.7,0.2808499999999999,0.2808499999999999,0.34312,296.245,57.203601,209.387745,103.388321,0.004232,0.001167,0.003024,0.00121,0.63481,1.346,No Fail,150.0,100.0,33.56,0.0,0.0
63,46.2,0.2,2635,0,90,90,90,90,0,Cross-Ply,108143.0,8813.0,8813.0,13173.4,7904.039999999999,13173.4,0.2807,0.2807,0.34304,303.685,59.490031,213.058856,107.152385,0.004338,0.001194,0.003081,0.001236,0.65075,1.368,No Fail,150.0,100.0,26.35,0.0,0.0
64,46.3,0.2,4752,0,90,90,90,90,0,Cross-Ply,108369.5,8824.5,8824.5,13199.1,7919.46,13199.1,0.28055,0.28055,0.34296,580.673,115.49078,404.449442,207.107661,0.008295,0.002279,0.005857,0.002356,1.2443,2.159,No Fail,150.0,100.0,47.52,0.0,0.0
65,46.4,0.2,4411,0,90,90,90,90,0,Cross-Ply,108596.0,8836.0,8836.0,13224.8,7934.879999999999,13224.8,0.2804,0.2804,0.34288,422.238,85.318661,292.03812,152.198488,0.006032,0.001654,0.004235,0.001708,0.9048,1.706,No Fail,150.0,100.0,44.11,0.0,0.0
66,46.5,0.2,1703,0,90,90,90,90,0,Cross-Ply,108822.5,8847.5,8847.5,13250.5,7950.299999999999,13250.5,0.28025,0.28025,0.3428,140.17,28.788509,96.292616,51.047546,0.002002,0.000548,0.001397,0.000566,0.30036,0.9,FAIL,150.0,100.0,17.03,0.0,0.0
67,46.6,0.2,4814,0,90,90,90,90,0,Cross-Ply,109049.0,8859.0,8859.0,13276.2,7965.72,13276.2,0.2801,0.2801,0.34272,475.593,99.314938,324.599396,174.935329,0.006794,0.001854,0.004714,0.001915,1.01913,1.859,No Fail,150.0,100.0,48.14,0.0,0.0
68,46.7,0.2,3201,0,90,90,90,90,0,Cross-Ply,109275.5,8870.5,8870.5,13301.9,7981.139999999999,13301.9,0.27995,0.27995,0.3426399999999999,367.221,77.981676,249.083578,136.372244,0.005246,0.001428,0.00362,0.001476,0.7869,1.549,No Fail,150.0,100.0,32.01,0.0,0.0
69,46.8,0.2,4162,0,90,90,90,90,0,Cross-Ply,109502.0,8882.0,8882.0,13327.6,7996.559999999999,13327.6,0.2798,0.2798,0.34256,496.262,107.168898,334.639268,185.985942,0.007089,0.001924,0.004864,0.001991,1.06342,1.918,No Fail,150.0,100.0,41.62,0.0,0.0
70,46.9,0.2,1949,0,90,90,90,90,0,Cross-Ply,109728.5,8893.5,8893.5,13353.3,8011.98,13353.3,0.2796499999999999,0.2796499999999999,0.34248,112.227,24.642994,75.260313,42.42607,0.001603,0.000434,0.001094,0.00045,0.24049,0.821,FAIL,150.0,100.0,19.49,0.0,0.0
71,47.0,0.2,3424,0,90,90,90,90,0,Cross-Ply,109955.0,8905.0,8905.0,13379.0,8027.4,13379.0,0.2794999999999999,0.2794999999999999,0.3424,345.272,77.069742,230.355358,131.595754,0.004932,0.001331,0.003347,0.001382,0.73987,1.486,No Fail,150.0,100.0,34.24,0.0,0.0
72,47.1,0.2,4554,0,90,90,90,90,0,Cross-Ply,110181.5,8916.5,8916.5,13404.7,8042.82,13404.7,0.27935,0.27935,0.3423199999999999,522.077,118.41798,346.669568,200.504095,0.007458,0.002007,0.005035,0.002089,1.11874,1.992,No Fail,150.0,100.0,45.54,0.0,0.0
73,47.2,0.2,2241,0,90,90,90,90,0,Cross-Ply,110408.0,8928.0,8928.0,13430.4,8058.24,13430.4,0.2792,0.2792,0.34224,195.997,45.152008,129.586695,75.804536,0.0028,0.000751,0.001881,0.000784,0.41999,1.06,No Fail,150.0,100.0,22.41,0.0,0.0
74,47.3,0.2,4055,0,90,90,90,90,0,Cross-Ply,110634.5,8939.5,8939.5,13456.1,8073.66,13456.1,0.27905,0.27905,0.34216,420.041,98.2204,276.64772,163.504855,0.006001,0.001605,0.004011,0.00168,0.90009,1.7,No Fail,150.0,100.0,40.55,0.0,0.0
75,47.4,0.2,2591,0,90,90,90,90,0,Cross-Ply,110861.0,8951.0,8951.0,13481.8,8089.079999999999,13481.8,0.2789,0.2789,0.34208,271.461,64.386575,178.184525,106.283118,0.003878,0.001034,0.00258,0.001086,0.5817,1.276,No Fail,150.0,100.0,25.91,0.0,0.0
76,47.5,0.2,3775,0,90,90,90,90,0,Cross-Ply,111087.5,8962.5,8962.5,13507.5,8104.5,13507.5,0.27875,0.27875,0.3419999999999999,322.884,77.619222,211.322676,127.067885,0.004613,0.001226,0.003055,0.001293,0.69189,1.423,No Fail,150.0,100.0,37.75,0.0,0.0
77,47.6,0.2,3312,0,90,90,90,90,0,Cross-Ply,111314.0,8974.0,8974.0,13533.200000000004,8119.920000000001,13533.200000000004,0.2786,0.2786,0.34192,335.291,81.62098,218.914567,132.540735,0.00479,0.001269,0.003159,0.001344,0.71848,1.458,No Fail,150.0,100.0,33.12,0.0,0.0
78,47.7,0.2,2286,0,90,90,90,90,0,Cross-Ply,111540.5,8985.5,8985.5,13558.9,8135.34,13558.9,0.27845,0.27845,0.34184,241.838,59.559733,157.598417,95.959609,0.003455,0.000912,0.002269,0.000971,0.51822,1.191,No Fail,150.0,100.0,22.86,0.0,0.0
79,47.8,0.2,3559,0,90,90,90,90,0,Cross-Ply,111767.0,8997.0,8997.0,13584.6,8150.76,13584.6,0.2783,0.2783,0.34176,381.171,94.876753,248.054544,151.709303,0.005445,0.001433,0.003563,0.001533,0.8168,1.589,No Fail,150.0,100.0,35.59,0.0,0.0
80,47.9,0.2,2271,0,90,90,90,90,0,Cross-Ply,111993.5,9008.5,9008.5,13610.3,8166.179999999999,13610.3,0.27815,0.27815,0.34168,225.365,56.634011,146.535326,89.90715,0.00322,0.000844,0.002099,0.000908,0.48293,1.144,No Fail,150.0,100.0,22.71,0.0,0.0
81,48.0,0.2,3709,0,90,90,90,90,0,Cross-Ply,112220.0,9020.0,9020.0,13636.0,8181.599999999999,13636.0,0.278,0.278,0.3416,436.198,110.546088,283.529623,174.297029,0.006231,0.001628,0.004049,0.001762,0.93471,1.746,No Fail,150.0,100.0,37.09,0.0,0.0
82,48.1,0.2,4669,0,90,90,90,90,0,Cross-Ply,112446.5,9031.5,9031.5,13661.700000000004,8197.02,13661.700000000004,0.2778499999999999,0.2778499999999999,0.34152,542.084,138.386896,352.428769,216.796375,0.007744,0.002015,0.005018,0.002196,1.16161,2.049,No Fail,150.0,100.0,46.69,0.0,0.0
83,48.2,0.2,1748,0,90,90,90,90,0,Cross-Ply,112673.0,9043.0,9043.0,13687.4,8212.44,13687.4,0.2777,0.2777,0.34144,73.264,18.817948,47.666802,29.3045,0.001047,0.000271,0.000677,0.000298,0.15699,0.709,FAIL,150.0,100.0,17.48,0.0,0.0
84,48.3,0.2,3841,0,90,90,90,90,0,Cross-Ply,112899.5,9054.5,9054.5,13713.1,8227.86,13713.1,0.27755,0.27755,0.34136,431.651,111.41399,281.195122,172.549474,0.006166,0.001593,0.003975,0.00176,0.92497,1.733,No Fail,150.0,100.0,38.41,0.0,0.0
85,48.4,0.2,1963,0,90,90,90,90,0,Cross-Ply,113126.0,9066.0,9066.0,13738.8,8243.279999999999,13738.8,0.2774,0.2774,0.34128,186.849,48.404463,121.938739,74.591403,0.002669,0.000687,0.001717,0.000764,0.40039,1.034,No Fail,150.0,100.0,19.63,0.0,0.0
