Fiber Volume Fraction,Load (N),Ply1 Angle,Ply2 Angle,Ply3 Angle,Ply4 Angle,Ply5 Angle,Ply6 Angle,Total Deformation Maximum [mm],Equivalent Stress Maximum [MPa],Equivalent Elastic Strain Maximum [mm mm^-1],Inverse Reserve Factor Maximum
0.63,2432,0,0,90,90,0,0,0.755,31.91,0.000854,0.05
0.41,2460,90,0,45,-45,0,90,1.063,51.7,0.001174,0.079
0.53,7954,0,30,60,-60,-30,0,2.611,135.0,0.002906,0.212
0.65,5901,45,45,-45,-45,45,45,1.662,80.41,0.001883,0.127
0.56,3360,0,30,-30,-30,30,0,1.046,52.79,0.00118,0.083
0.45,4267,0,60,-60,-60,60,0,1.675,82.69,0.001831,0.128
0.49,9762,0,60,-60,-60,60,0,3.55,176.44,0.003875,0.276
0.62,4525,0,30,-30,-30,30,0,1.314,61.29,0.001455,0.095
0.53,6283,90,45,0,0,45,90,2.138,101.65,0.002399,0.155
0.47,1793,45,45,-45,-45,45,45,0.695,34.29,0.000764,0.052
0.61,4620,90,0,45,-45,0,90,1.344,66.78,0.001494,0.104
0.49,9214,0,45,-45,90,-45,45,3.151,176.62,0.003453,0.279
0.44,8812,0,90,90,90,90,0,3.863,167.61,0.00431,0.257
0.49,8524,45,45,-45,-45,45,45,3.035,158.53,0.003431,0.242
0.5,1379,0,45,-45,90,-45,45,0.453,26.14,0.000497,0.041
0.57,2332,0,60,-60,-60,60,0,0.735,35.58,0.000828,0.056
0.58,5405,0,30,-30,-30,30,0,1.68,81.72,0.001896,0.127
0.42,9219,45,-45,45,-45,45,-45,3.653,210.05,0.004083,0.314
0.65,6483,0,90,90,90,90,0,1.858,81.01,0.002033,0.122
0.55,7930,45,45,-45,-45,45,45,2.521,127.37,0.002816,0.191
0.53,1029,0,60,-60,-60,60,0,0.347,17.23,0.00038,0.026
0.58,6581,90,45,0,0,45,90,2.008,101.26,0.002195,0.154
0.52,8707,45,45,-45,-45,45,45,2.92,151.23,0.003201,0.229
0.49,1529,0,0,90,90,0,0,0.591,25.58,0.000661,0.039
0.58,1215,0,30,60,-60,-30,0,0.353,19.32,0.000389,0.03
0.47,8458,0,0,90,90,0,0,3.515,145.52,0.003829,0.219
0.55,3970,0,90,90,90,90,0,1.382,59.87,0.001541,0.09
0.47,9596,0,30,60,-60,-30,0,3.615,181.85,0.004084,0.279
0.44,3847,0,45,-45,90,-45,45,1.436,81.98,0.001567,0.127
0.54,6413,45,45,-45,-45,45,45,2.018,111.7,0.002205,0.17
0.41,8379,0,30,-30,-30,30,0,3.474,192.06,0.003833,0.303
0.58,9145,0,15,-15,-15,15,0,2.781,136.09,0.003092,0.207
0.48,8340,0,45,-45,-45,45,0,3.009,160.03,0.003341,0.24
0.45,3350,0,30,-30,-30,30,0,1.242,69.56,0.001369,0.11
0.64,6605,45,45,-45,-45,45,45,1.702,94.05,0.001899,0.141
0.62,9890,45,45,-45,-45,45,45,2.848,139.77,0.003217,0.217
0.54,9243,0,0,90,90,0,0,3.353,142.65,0.003657,0.215
0.54,1856,0,30,-30,-30,30,0,0.633,29.45,0.000696,0.044
0.64,1138,90,45,0,0,45,90,0.321,15.88,0.000358,0.025
0.63,6930,45,-45,45,-45,45,-45,1.829,104.81,0.002026,0.162
0.56,4255,0,15,-15,-15,15,0,1.31,71.19,0.001439,0.106
0.46,4192,90,45,0,0,45,90,1.555,80.32,0.001715,0.125
0.41,7659,0,60,-60,-60,60,0,3.122,170.27,0.003535,0.26
0.41,3040,0,0,90,90,0,0,1.446,62.0,0.001586,0.093
0.61,3607,0,30,60,-60,-30,0,1.047,53.24,0.001181,0.081
0.57,6456,90,45,0,0,45,90,2.002,98.55,0.002252,0.155
0.58,9361,0,45,-45,90,-45,45,2.65,151.27,0.002939,0.232
0.64,2775,0,45,-45,90,-45,45,0.717,40.85,0.000801,0.065
0.65,4317,90,0,45,-45,0,90,1.22,59.0,0.001353,0.09
0.58,4185,90,45,0,0,45,90,1.299,63.31,0.001427,0.098
0.41,8237,0,30,60,-60,-30,0,3.76,174.46,0.004208,0.272
0.63,4176,0,45,-45,-45,45,0,1.145,60.48,0.001255,0.091
0.47,5858,0,45,-45,-45,45,0,2.148,113.99,0.0024,0.172
0.59,9197,0,60,-60,-60,60,0,2.836,142.01,0.003143,0.221
0.51,8685,0,0,90,90,0,0,3.207,144.23,0.003548,0.223
0.47,1061,0,30,-30,-30,30,0,0.408,19.91,0.000445,0.03
0.65,4473,90,45,0,0,45,90,1.249,59.25,0.001374,0.088
0.59,4489,0,15,-15,-15,15,0,1.308,69.27,0.001438,0.104
0.46,9016,0,30,60,-60,-30,0,3.568,173.75,0.004007,0.261
0.56,5961,0,60,-60,-60,60,0,1.87,92.74,0.002038,0.142
0.62,9575,0,60,-60,-60,60,0,2.813,137.34,0.003128,0.21
0.59,7271,0,15,-15,-15,15,0,2.076,113.27,0.002311,0.173
0.59,9577,0,45,-45,-45,45,0,2.938,146.88,0.003261,0.229
0.47,9297,45,-45,45,-45,45,-45,3.128,194.35,0.003433,0.293
0.63,6320,0,30,-30,-30,30,0,1.715,95.2,0.001909,0.144
0.4,2404,90,0,45,-45,0,90,1.025,55.03,0.001148,0.084
0.6,3087,0,45,-45,-45,45,0,0.896,46.62,0.000993,0.072
0.54,3096,0,0,90,90,0,0,1.115,45.95,0.001219,0.071
0.53,7607,0,30,-30,-30,30,0,2.536,128.21,0.002867,0.192
0.59,9569,45,45,-45,-45,45,45,2.79,149.7,0.00313,0.227
0.43,4666,0,30,60,-60,-30,0,1.99,95.77,0.002176,0.143
0.64,5668,45,-45,45,-45,45,-45,1.475,83.69,0.001609,0.128
0.55,7502,0,90,90,90,90,0,2.654,114.49,0.003,0.172
0.54,5938,90,45,0,0,45,90,1.804,103.23,0.001988,0.159
0.61,3130,90,0,45,-45,0,90,0.888,44.62,0.000995,0.07
0.4,1319,45,-45,45,-45,45,-45,0.538,32.17,0.000597,0.05
0.6,5262,0,90,90,90,90,0,1.69,71.97,0.001879,0.109
0.44,9878,0,15,-15,-15,15,0,4.025,197.42,0.00448,0.3
0.5,8648,45,-45,45,-45,45,-45,2.716,167.04,0.003019,0.257
0.44,4329,0,15,-15,-15,15,0,1.698,89.48,0.001919,0.142
0.51,7921,0,0,90,90,0,0,2.922,125.06,0.003192,0.197
0.56,4335,45,45,-45,-45,45,45,1.358,70.05,0.001502,0.107
0.59,4242,0,60,-60,-60,60,0,1.264,64.04,0.001404,0.096
0.61,3809,0,90,90,90,90,0,1.166,53.12,0.001306,0.082
0.49,7703,0,0,90,90,0,0,3.025,126.59,0.003406,0.195
0.57,4938,0,45,-45,-45,45,0,1.518,76.18,0.001694,0.12
0.45,2843,0,45,-45,90,-45,45,1.082,57.79,0.001205,0.088
0.56,4115,0,45,-45,90,-45,45,1.257,68.26,0.001387,0.104
0.53,8787,0,30,60,-60,-30,0,3.075,146.81,0.003411,0.227
0.56,4282,0,0,90,90,0,0,1.466,63.82,0.001629,0.099
0.55,7813,0,45,-45,90,-45,45,2.41,131.26,0.002683,0.197
0.56,3116,0,15,-15,-15,15,0,0.943,52.25,0.001042,0.081
0.4,4948,0,60,-60,-60,60,0,2.086,111.0,0.002332,0.175
0.64,6496,0,45,-45,-45,45,0,1.782,92.98,0.001993,0.14
0.46,4825,0,30,-30,-30,30,0,1.742,98.27,0.001965,0.149
0.57,7685,0,45,-45,90,-45,45,2.25,129.89,0.002478,0.197
0.65,9243,0,0,90,90,0,0,2.73,114.29,0.003067,0.176
0.52,7078,0,45,-45,-45,45,0,2.419,125.79,0.002719,0.199
0.61,8464,90,45,0,0,45,90,2.44,125.88,0.002762,0.199
0.4,8584,0,15,-15,-15,15,0,3.906,189.13,0.004301,0.299
0.46,7726,0,30,60,-60,-30,0,2.788,161.79,0.003147,0.25
0.57,2419,0,15,-15,-15,15,0,0.776,37.72,0.000862,0.06
0.51,5100,0,90,90,90,90,0,1.885,81.0,0.002081,0.124
0.63,9660,45,-45,45,-45,45,-45,2.535,148.5,0.00286,0.224
0.47,5300,0,30,60,-60,-30,0,2.057,98.95,0.00232,0.156
0.53,9897,0,0,90,90,0,0,3.503,152.48,0.003833,0.229
0.57,2972,45,-45,45,-45,45,-45,0.848,52.29,0.000946,0.081
0.58,9069,0,30,-30,-30,30,0,2.638,143.6,0.002973,0.226
0.55,7868,45,-45,45,-45,45,-45,2.357,136.13,0.00262,0.206
0.55,3478,0,90,90,90,90,0,1.181,51.79,0.001297,0.079
0.42,5349,0,90,90,90,90,0,2.479,103.19,0.002707,0.161
0.58,9213,0,60,-60,-60,60,0,2.966,137.39,0.003354,0.212
0.42,1342,45,-45,45,-45,45,-45,0.516,30.84,0.000567,0.049
0.42,3803,90,45,0,0,45,90,1.567,80.14,0.001721,0.122
0.44,5620,0,30,-30,-30,30,0,2.29,113.24,0.002516,0.173
0.46,2298,45,45,-45,-45,45,45,0.865,44.36,0.000967,0.069
0.5,7125,0,90,90,90,90,0,2.702,121.21,0.00297,0.188
0.42,5776,0,90,90,90,90,0,2.668,112.58,0.002928,0.175
0.51,6083,0,60,-60,-60,60,0,2.088,102.88,0.002299,0.159
0.48,6227,90,45,0,0,45,90,2.243,116.74,0.00249,0.184
0.58,3856,0,45,-45,-45,45,0,1.24,57.36,0.001389,0.086
0.48,5442,0,90,90,90,90,0,2.202,93.51,0.002474,0.144
0.62,4936,45,-45,45,-45,45,-45,1.282,78.59,0.001419,0.122
0.41,1888,90,45,0,0,45,90,0.861,40.96,0.000972,0.062
0.57,5490,0,30,60,-60,-30,0,1.672,85.98,0.00186,0.128
0.53,5529,0,30,60,-60,-30,0,1.822,90.45,0.001991,0.138
0.41,3316,0,30,-30,-30,30,0,1.446,73.75,0.001596,0.112
0.57,9165,90,0,45,-45,0,90,2.959,141.91,0.003308,0.215
0.43,5753,0,45,-45,90,-45,45,2.213,128.81,0.002414,0.204
0.47,6370,0,30,60,-60,-30,0,2.297,120.85,0.002516,0.189
0.61,3214,0,45,-45,90,-45,45,0.875,49.28,0.000973,0.075
0.51,3031,0,15,-15,-15,15,0,1.053,52.05,0.001161,0.08
0.49,3609,0,15,-15,-15,15,0,1.304,68.14,0.001438,0.107
0.48,1663,0,30,-30,-30,30,0,0.61,30.97,0.000674,0.046
0.64,5724,0,0,90,90,0,0,1.686,74.72,0.001885,0.116
0.65,2777,0,15,-15,-15,15,0,0.764,37.17,0.000859,0.057
0.47,4092,45,45,-45,-45,45,45,1.527,75.13,0.00169,0.116
0.63,9725,90,0,45,-45,0,90,2.842,131.92,0.003158,0.199
0.5,9478,0,45,-45,-45,45,0,3.244,172.22,0.003617,0.268
0.54,9736,0,15,-15,-15,15,0,3.063,171.16,0.003373,0.265
0.54,7190,45,-45,45,-45,45,-45,2.134,133.24,0.002414,0.202
0.41,6486,0,30,60,-60,-30,0,2.852,138.55,0.003198,0.208
0.59,6187,0,30,60,-60,-30,0,1.866,92.6,0.00211,0.14
0.44,8981,0,60,-60,-60,60,0,3.49,186.33,0.003863,0.287
0.64,1659,0,45,-45,90,-45,45,0.424,24.65,0.000474,0.038
0.42,4751,0,15,-15,-15,15,0,2.069,99.97,0.002253,0.15
0.4,3444,0,30,60,-60,-30,0,1.493,79.45,0.00164,0.119
0.54,9602,0,60,-60,-60,60,0,3.105,161.01,0.003482,0.243
0.57,6426,0,45,-45,90,-45,45,1.945,105.84,0.002134,0.166
0.41,2778,90,45,0,0,45,90,1.147,60.84,0.00128,0.091
0.4,5290,0,45,-45,90,-45,45,2.164,125.19,0.00237,0.192
0.59,4625,0,30,60,-60,-30,0,1.429,68.76,0.001592,0.105
0.6,6508,0,15,-15,-15,15,0,1.864,98.05,0.002111,0.155
0.58,9349,0,90,90,90,90,0,2.991,129.42,0.003371,0.204
0.56,6814,45,-45,45,-45,45,-45,2.014,117.71,0.002213,0.185
0.46,6099,0,15,-15,-15,15,0,2.313,118.22,0.002585,0.184
0.49,3803,0,90,90,90,90,0,1.469,62.52,0.001614,0.096
0.51,8985,0,15,-15,-15,15,0,3.059,168.97,0.003431,0.263
0.5,2808,0,60,-60,-60,60,0,0.971,52.03,0.001072,0.08
0.4,2785,90,45,0,0,45,90,1.147,66.66,0.001267,0.101
0.55,7034,0,45,-45,90,-45,45,2.133,119.57,0.00241,0.184
0.53,6635,0,30,-30,-30,30,0,2.195,112.63,0.002484,0.177
0.55,7959,0,30,60,-60,-30,0,2.52,125.06,0.002818,0.188
0.4,2104,45,45,-45,-45,45,45,0.951,46.6,0.00106,0.07
0.55,9944,0,90,90,90,90,0,3.539,149.07,0.003936,0.223
0.59,4921,45,-45,45,-45,45,-45,1.329,81.9,0.001495,0.122
0.61,5939,45,45,-45,-45,45,45,1.702,88.52,0.001861,0.138
0.61,2749,0,45,-45,-45,45,0,0.796,38.67,0.000891,0.059
0.62,9630,45,-45,45,-45,45,-45,2.573,153.51,0.002865,0.232
0.54,6987,90,45,0,0,45,90,2.161,122.37,0.002374,0.186
0.49,6075,45,-45,45,-45,45,-45,1.948,124.07,0.002136,0.195
0.55,2606,0,15,-15,-15,15,0,0.864,41.83,0.000961,0.066
0.57,4518,0,90,90,90,90,0,1.525,64.12,0.001704,0.099
0.61,2971,0,45,-45,-45,45,0,0.887,42.78,0.000995,0.064
0.59,2742,0,90,90,90,90,0,0.898,37.87,0.001011,0.059
0.6,1909,90,45,0,0,45,90,0.561,28.74,0.000635,0.044
0.58,4095,0,45,-45,-45,45,0,1.219,64.6,0.001375,0.098
0.44,6546,0,0,90,90,0,0,2.875,121.45,0.00314,0.192
0.61,3966,45,45,-45,-45,45,45,1.149,60.77,0.001252,0.094
0.52,6981,0,45,-45,-45,45,0,2.358,117.97,0.002665,0.182
0.45,4207,0,45,-45,90,-45,45,1.569,89.48,0.001775,0.137
0.63,5913,0,30,-30,-30,30,0,1.67,83.04,0.001847,0.128
0.57,4805,90,0,45,-45,0,90,1.439,77.37,0.001587,0.122
0.51,3084,0,45,-45,90,-45,45,1.006,55.18,0.00113,0.086
0.49,3057,0,30,60,-60,-30,0,1.087,54.68,0.001194,0.083
0.54,5535,0,30,60,-60,-30,0,1.878,86.02,0.002112,0.131
0.59,5884,0,45,-45,90,-45,45,1.673,94.66,0.001876,0.148
0.54,8121,0,0,90,90,0,0,2.937,124.85,0.00328,0.188
0.61,6647,45,45,-45,-45,45,45,1.911,103.2,0.002113,0.16
0.63,9527,90,45,0,0,45,90,2.553,142.33,0.002804,0.219
0.49,4896,0,30,-30,-30,30,0,1.746,91.33,0.00193,0.142
0.55,5178,90,0,45,-45,0,90,1.655,84.49,0.001854,0.133
0.4,4100,0,30,-30,-30,30,0,1.733,97.22,0.00196,0.149
0.59,2701,0,30,-30,-30,30,0,0.804,41.69,0.000888,0.064
0.57,2799,0,90,90,90,90,0,0.941,40.84,0.00104,0.064
0.48,1613,90,0,45,-45,0,90,0.595,30.96,0.00066,0.048
0.54,8726,0,45,-45,-45,45,0,2.897,142.6,0.003188,0.213
0.55,8124,45,-45,45,-45,45,-45,2.403,141.92,0.002634,0.216
0.42,9854,0,45,-45,-45,45,0,4.285,203.09,0.004738,0.313
0.62,6620,45,45,-45,-45,45,45,1.837,100.22,0.002041,0.156
0.42,5471,0,30,-30,-30,30,0,2.273,115.99,0.002566,0.179
0.55,8588,0,30,-30,-30,30,0,2.799,138.06,0.003054,0.215
0.56,2492,0,0,90,90,0,0,0.84,37.45,0.00093,0.059
0.55,5984,0,45,-45,-45,45,0,1.95,93.16,0.002165,0.139
0.46,1845,0,60,-60,-60,60,0,0.67,36.81,0.000731,0.055
0.42,5204,45,-45,45,-45,45,-45,2.012,122.82,0.002224,0.192
0.53,4382,0,0,90,90,0,0,1.612,68.76,0.001824,0.105
0.43,7376,90,45,0,0,45,90,3.002,155.38,0.0033,0.242
0.6,1355,45,-45,45,-45,45,-45,0.356,22.03,0.000396,0.034
0.54,4681,0,60,-60,-60,60,0,1.435,80.67,0.001618,0.124
0.62,9684,0,45,-45,-45,45,0,2.903,133.73,0.003226,0.204
0.6,1910,45,-45,45,-45,45,-45,0.52,31.71,0.00057,0.05
0.6,1184,0,90,90,90,90,0,0.377,16.27,0.000412,0.026
0.45,5481,90,45,0,0,45,90,2.178,106.67,0.002448,0.168
0.46,2593,0,30,-30,-30,30,0,1.005,48.41,0.001114,0.074
0.45,6382,0,15,-15,-15,15,0,2.597,122.22,0.002914,0.192
0.45,9147,90,45,0,0,45,90,3.431,188.31,0.003743,0.292
0.43,9029,45,45,-45,-45,45,45,3.593,188.52,0.00395,0.287
0.64,2371,90,0,45,-45,0,90,0.65,32.17,0.000722,0.048
0.51,2189,45,-45,45,-45,45,-45,0.682,41.6,0.000754,0.064
0.56,5774,90,0,45,-45,0,90,1.827,93.57,0.002,0.146
0.46,4142,0,30,60,-60,-30,0,1.522,82.71,0.001713,0.128
0.53,2310,90,45,0,0,45,90,0.799,36.95,0.000887,0.058
0.63,1272,0,45,-45,90,-45,45,0.336,18.49,0.00038,0.028
0.49,4041,90,45,0,0,45,90,1.42,76.88,0.001548,0.115
0.55,3853,0,15,-15,-15,15,0,1.295,62.15,0.001417,0.095
0.43,2426,0,45,-45,-45,45,0,0.978,52.65,0.001082,0.082
0.49,9328,0,45,-45,90,-45,45,3.164,183.09,0.003573,0.273
0.61,5867,0,15,-15,-15,15,0,1.698,90.79,0.001853,0.138
0.48,6880,0,30,-30,-30,30,0,2.44,136.53,0.002764,0.214
0.4,6823,0,45,-45,-45,45,0,3.133,147.95,0.003493,0.226
0.57,9040,0,90,90,90,90,0,3.0,130.92,0.003302,0.196
0.41,3713,0,0,90,90,0,0,1.776,76.36,0.00196,0.115
0.47,6019,90,0,45,-45,0,90,2.147,119.05,0.002387,0.182
0.55,1041,0,45,-45,90,-45,45,0.316,17.38,0.000347,0.026
0.42,8106,0,15,-15,-15,15,0,3.458,174.32,0.003855,0.272
0.45,7905,90,45,0,0,45,90,3.021,161.48,0.00334,0.254
0.59,1118,0,90,90,90,90,0,0.351,15.7,0.000395,0.024
0.6,2157,0,45,-45,-45,45,0,0.62,32.31,0.000687,0.048
0.43,5905,0,90,90,90,90,0,2.618,114.28,0.002951,0.181
0.6,2268,90,45,0,0,45,90,0.683,33.01,0.000766,0.05
0.48,2075,45,-45,45,-45,45,-45,0.682,40.97,0.000764,0.064
0.41,6180,0,15,-15,-15,15,0,2.693,134.19,0.003025,0.205
0.56,1241,90,45,0,0,45,90,0.396,20.35,0.000445,0.031
0.49,7102,90,45,0,0,45,90,2.561,132.79,0.002828,0.208
0.53,9038,45,-45,45,-45,45,-45,2.701,168.01,0.003031,0.264
0.63,7276,0,60,-60,-60,60,0,1.98,103.2,0.002214,0.155
0.64,5353,0,45,-45,90,-45,45,1.383,79.61,0.001535,0.124
0.54,7861,45,45,-45,-45,45,45,2.429,138.13,0.002743,0.209
0.62,5033,90,0,45,-45,0,90,1.492,70.71,0.001688,0.107
0.47,8304,0,90,90,90,90,0,3.422,142.24,0.00374,0.224
0.41,6858,0,45,-45,-45,45,0,3.078,145.64,0.003458,0.23
0.43,8751,90,45,0,0,45,90,3.833,170.79,0.004252,0.264
0.63,5739,0,60,-60,-60,60,0,1.584,86.48,0.001767,0.135
0.41,5192,90,45,0,0,45,90,2.247,108.33,0.002532,0.163
0.5,7964,0,60,-60,-60,60,0,2.742,143.0,0.003046,0.223
0.41,8896,90,0,45,-45,0,90,3.766,206.39,0.004194,0.31
0.64,6780,0,30,60,-60,-30,0,1.916,94.31,0.002154,0.144
0.65,9927,0,90,90,90,90,0,2.996,127.43,0.003392,0.201
0.47,5331,0,15,-15,-15,15,0,2.027,97.64,0.002254,0.151
0.49,7176,0,0,90,90,0,0,2.759,122.06,0.003074,0.191
0.45,3897,45,-45,45,-45,45,-45,1.413,83.86,0.001547,0.127
0.41,9611,0,30,-30,-30,30,0,4.179,205.19,0.004693,0.325
0.42,1517,0,30,-30,-30,30,0,0.631,32.83,0.000712,0.05
0.4,9785,0,45,-45,90,-45,45,4.001,229.08,0.00445,0.345
0.5,4630,45,45,-45,-45,45,45,1.551,86.54,0.001714,0.13
0.63,1122,45,-45,45,-45,45,-45,0.286,17.32,0.000316,0.026
0.48,2254,0,30,60,-60,-30,0,0.836,42.93,0.000947,0.064
0.51,3774,90,45,0,0,45,90,1.248,68.14,0.001364,0.107
0.55,2075,0,45,-45,-45,45,0,0.708,32.51,0.000796,0.049
0.62,4046,90,0,45,-45,0,90,1.227,54.92,0.001367,0.085
0.54,5879,0,15,-15,-15,15,0,1.963,99.21,0.002221,0.152
0.55,2012,0,0,90,90,0,0,0.687,30.04,0.000754,0.047
0.45,6286,0,45,-45,-45,45,0,2.415,129.28,0.002666,0.202
0.64,5127,90,45,0,0,45,90,1.362,72.41,0.001498,0.111
0.41,1491,45,45,-45,-45,45,45,0.606,33.13,0.000663,0.051
0.54,4988,45,45,-45,-45,45,45,1.552,84.15,0.001731,0.13
0.56,3125,0,60,-60,-60,60,0,1.023,47.95,0.001152,0.073
0.62,5068,0,15,-15,-15,15,0,1.474,71.2,0.00167,0.109
0.5,5731,45,45,-45,-45,45,45,1.997,103.58,0.002216,0.164
0.44,9491,0,60,-60,-60,60,0,3.921,184.66,0.004409,0.277
0.57,2043,45,-45,45,-45,45,-45,0.595,34.73,0.000657,0.052
0.63,2384,0,60,-60,-60,60,0,0.663,33.64,0.000743,0.051
0.45,5704,45,-45,45,-45,45,-45,2.01,124.1,0.002257,0.195
0.54,5092,0,90,90,90,90,0,1.791,76.34,0.002025,0.117
0.42,2694,0,90,90,90,90,0,1.192,53.42,0.001328,0.083
0.5,7178,90,0,45,-45,0,90,2.481,133.39,0.002738,0.205
0.6,2485,0,60,-60,-60,60,0,0.729,36.48,0.000804,0.056
0.51,3443,45,45,-45,-45,45,45,1.194,60.65,0.001335,0.096
0.61,9116,0,0,90,90,0,0,2.919,123.25,0.003209,0.189
0.62,3499,0,0,90,90,0,0,1.058,47.01,0.001157,0.072
0.53,6564,0,0,90,90,0,0,2.432,102.35,0.002661,0.161
0.42,2957,0,30,60,-60,-30,0,1.194,63.82,0.001353,0.098
0.6,7615,0,30,60,-60,-30,0,2.165,115.44,0.002366,0.177
0.55,4308,45,-45,45,-45,45,-45,1.302,75.97,0.00143,0.114
0.58,9925,0,45,-45,90,-45,45,2.801,157.08,0.003128,0.236
0.59,5871,0,0,90,90,0,0,1.904,82.64,0.002096,0.126
0.5,1443,45,45,-45,-45,45,45,0.513,25.64,0.00057,0.039
0.62,7583,0,90,90,90,90,0,2.402,101.04,0.002713,0.153
0.51,3459,0,30,-30,-30,30,0,1.237,57.53,0.001387,0.087
0.56,8600,90,0,45,-45,0,90,2.767,140.55,0.003081,0.212
0.42,1259,0,0,90,90,0,0,0.561,24.15,0.000623,0.037
0.63,9980,0,45,-45,90,-45,45,2.667,150.1,0.002946,0.227
0.56,7811,0,0,90,90,0,0,2.607,112.53,0.002889,0.178
0.53,5708,0,45,-45,90,-45,45,1.841,103.63,0.002076,0.163
0.47,7630,45,45,-45,-45,45,45,2.874,141.89,0.003194,0.213
0.5,3081,0,0,90,90,0,0,1.141,49.89,0.00126,0.077
0.56,9364,0,30,-30,-30,30,0,3.119,141.35,0.003477,0.219
0.56,7847,90,45,0,0,45,90,2.449,128.56,0.002743,0.197
0.43,9615,45,-45,45,-45,45,-45,3.666,212.53,0.00407,0.319
0.4,6646,45,45,-45,-45,45,45,2.862,153.77,0.003163,0.232
0.54,3310,0,30,60,-60,-30,0,1.087,51.86,0.001221,0.078
0.5,2826,0,45,-45,-45,45,0,0.978,50.21,0.001106,0.078
0.59,1748,0,60,-60,-60,60,0,0.509,26.41,0.000569,0.042
0.41,8403,45,45,-45,-45,45,45,3.466,194.92,0.003792,0.306
0.55,5812,0,0,90,90,0,0,2.028,85.26,0.002253,0.133
0.61,7000,0,90,90,90,90,0,2.125,92.43,0.002349,0.141
0.41,5340,0,45,-45,-45,45,0,2.197,116.05,0.002409,0.183
0.62,2073,90,0,45,-45,0,90,0.574,30.4,0.000636,0.046
0.47,9521,0,60,-60,-60,60,0,3.46,180.4,0.00377,0.273
0.52,4467,0,90,90,90,90,0,1.635,71.34,0.001784,0.107
0.52,6209,0,15,-15,-15,15,0,2.233,101.45,0.002503,0.16
0.48,3286,0,90,90,90,90,0,1.283,56.24,0.001417,0.086
0.57,2033,0,60,-60,-60,60,0,0.622,31.99,0.000678,0.048
0.54,1637,0,90,90,90,90,0,0.579,24.79,0.000633,0.039
0.43,4515,90,45,0,0,45,90,1.796,96.03,0.001958,0.148
