Sl.No,Fiber Volume Fraction,Fiber_Thickness,ModelingPly.1.ply_angle, ModelingPly.2.ply_angle, ModelingPly.3.ply_angle,ModelingPly.4.ply_angle,ModelingPly.5.ply_angle, ModelingPly.6.ply_angle, E1, E2, E3, G12, G23, G31, nu12, nu13,nu23,Inverse Reserve Factor Maximum,Total Deformation Maximum [mm],Equivalent Stress Maximum [MPa],Shear Stress Maximum-XY [MPa],Normal Stress Maximum-X [MPa], Normal Stress  Maximum-Y[MPa],Equivalent Elastic Strain Maximum [mm mm^-1],Shear Elastic Strain Maximum-XY [mm mm^-1],Normal Elastic Strain Maximum-X [mm mm^-1],Normal Elastic Strain Maximum-Y[mm mm^-1]
53,0.5541,0.276,0,60,-60,-60,60,0,75596.13,5149.29,4891.82,2792.27,1924.88,1924.88,0.2667,0.2567,0.3138,3.0,0.179033,25.516,3.827,17.862,7.655,0.00179033,0.00137074,0.00023628,0.0014866
54,0.5128,0.2691,90,45,0,0,45,90,66836.15,4390.75,4171.21,2645.73,1839.48,1839.48,0.2881,0.2781,0.3096,3.0,0.05915,7.402,1.11,5.182,2.221,0.0005915,0.00041968,7.753e-05,0.00050577
55,0.523,0.295,0,30,-30,-30,30,0,69931.34,4776.62,4537.79,2521.26,1815.58,1815.58,0.2913,0.2813,0.3009,3.0,0.498859,65.421,9.813,45.795,19.626,0.00498859,0.00389218,0.00065486,0.00410885
56,0.4918,0.243,90,45,0,0,45,90,65568.51,4560.98,4332.93,2556.79,1672.83,1672.83,0.3071,0.2971,0.3792,3.0,0.125737,16.019,2.403,11.213,4.806,0.00125737,0.00093977,0.00017101,0.00105364
57,0.4783,0.2338,45,-45,45,-45,45,-45,64730.87,4343.61,4126.43,2485.48,1656.03,1656.03,0.2545,0.2445,0.3726,3.0,0.23892,29.171,4.376,20.419,8.751,0.0023892,0.00176046,0.00031545,0.00201473
58,0.4589,0.2079,0,90,90,90,90,0,61309.0,4302.54,4087.41,2150.99,1566.93,1566.93,0.2595,0.2495,0.3675,3.0,0.199361,23.138,3.471,16.197,6.942,0.00199361,0.00161356,0.00026418,0.00161335
59,0.5775,0.2579,90,45,0,0,45,90,78208.96,5046.38,4794.06,2930.0,2054.45,2054.45,0.3076,0.2976,0.3386,3.0,0.332229,47.342,7.101,33.14,14.203,0.00332229,0.00242366,0.00042373,0.00281442
60,0.6037,0.2822,90,45,0,0,45,90,81134.45,5320.5,5054.48,2956.69,2050.82,2050.82,0.2799,0.2699,0.3425,3.0,0.254411,37.755,5.663,26.429,11.327,0.00254411,0.00191541,0.00032574,0.00212885
61,0.471,0.2278,0,0,90,90,0,0,62665.81,4373.99,4155.29,2399.34,1640.5,1640.5,0.3142,0.3042,0.3359,3.0,0.48888,59.359,8.904,41.551,17.808,0.0048888,0.00371094,0.00066306,0.00407126
62,0.5115,0.2518,0,0,90,90,0,0,69367.89,4468.61,4245.18,2568.93,1717.53,1717.53,0.2896,0.2796,0.3382,3.0,0.05534,6.965,1.045,4.875,2.089,0.0005534,0.00040667,7.028e-05,0.00046757
63,0.6023,0.2884,45,-45,45,-45,45,-45,80956.14,5259.76,4996.77,3054.3,2207.87,2207.87,0.2752,0.2652,0.3442,3.0,0.343122,50.958,7.644,35.671,15.287,0.00343122,0.0025026,0.00044062,0.00290648
64,0.5808,0.2964,45,45,-45,-45,45,45,78709.61,5500.58,5225.55,2805.0,1968.82,1968.82,0.3022,0.2922,0.3392,3.0,0.445203,66.489,9.973,46.542,19.947,0.00445203,0.00355555,0.00059131,0.00362628
65,0.6471,0.2358,0,45,-45,-45,45,0,86666.54,6015.14,5714.38,3197.88,2233.05,2233.05,0.314,0.304,0.3658,3.0,0.411182,68.034,10.205,47.624,20.41,0.00411182,0.00319119,0.0005495,0.00339312
66,0.4574,0.2247,0,30,-30,-30,30,0,60507.04,4151.84,3944.25,2201.55,1623.2,1623.2,0.3092,0.2992,0.3592,3.0,0.080298,9.165,1.375,6.416,2.75,0.00080298,0.00062445,0.00010603,0.00066224
67,0.6102,0.1859,0,90,90,90,90,0,81844.75,5496.39,5221.57,3067.01,2104.63,2104.63,0.2424,0.2324,0.3321,3.0,0.138495,21.249,3.187,14.874,6.375,0.00138495,0.00103921,0.00018173,0.00115977
68,0.6291,0.2606,0,60,-60,-60,60,0,82036.81,5903.78,5608.59,3298.59,2181.68,2181.68,0.2872,0.2772,0.3318,3.0,0.131306,21.619,3.243,15.133,6.486,0.00131306,0.0009831,0.00018447,0.00109857
69,0.505,0.2864,0,0,90,90,0,0,68799.69,4320.52,4104.5,2566.78,1870.01,1870.01,0.2637,0.2537,0.3326,3.0,0.142636,17.514,2.627,12.26,5.254,0.00142636,0.00102352,0.0001782,0.00121612
70,0.4774,0.249,0,90,90,90,90,0,62919.24,4036.68,3834.84,2396.68,1651.25,1651.25,0.2798,0.2698,0.3107,3.0,0.55972,64.181,9.627,44.927,19.254,0.0055972,0.00401685,0.00071404,0.00476983
71,0.5231,0.1881,0,60,-60,-60,60,0,69572.36,4734.29,4497.58,2688.13,1814.58,1814.58,0.3167,0.3067,0.3602,3.0,0.139429,18.511,2.777,12.958,5.553,0.00139429,0.00103292,0.00018625,0.00117299
72,0.5582,0.2141,0,90,90,90,90,0,73306.35,4781.19,4542.13,2819.78,1927.46,1927.46,0.2994,0.2894,0.3473,3.0,0.446779,60.558,9.084,42.39,18.167,0.00446779,0.0032214,0.00057826,0.00379974
73,0.5807,0.2159,45,-45,45,-45,45,-45,78812.08,5583.58,5304.4,2928.65,2051.79,2051.79,0.3027,0.2927,0.3351,3.0,0.139882,21.388,3.208,14.972,6.416,0.00139882,0.00109546,0.00018997,0.00114916
74,0.5453,0.2994,45,-45,45,-45,45,-45,73086.46,4835.4,4593.63,2773.71,1983.3,1983.3,0.2922,0.2822,0.3764,3.0,0.344924,46.924,7.039,32.847,14.077,0.00344924,0.00253761,0.00044942,0.00291128
75,0.5525,0.232,45,45,-45,-45,45,45,73601.72,4855.56,4612.78,2623.51,1885.73,1885.73,0.2764,0.2664,0.3413,3.0,0.065553,8.805,1.321,6.164,2.642,0.00065553,0.00050345,8.374e-05,0.00054403
76,0.5125,0.1861,45,45,-45,-45,45,45,69121.04,4770.0,4531.5,2504.01,1748.27,1748.27,0.2642,0.2542,0.3315,3.0,0.100245,13.104,1.966,9.173,3.931,0.00100245,0.00078497,0.00013271,0.00082414
77,0.5333,0.1802,0,30,-30,-30,30,0,71983.96,4768.29,4529.88,2593.66,1788.45,1788.45,0.2745,0.2645,0.3624,3.0,0.100309,13.257,1.989,9.28,3.977,0.00100309,0.00076669,0.00012892,0.00083407
78,0.6182,0.2112,90,45,0,0,45,90,80725.61,5339.67,5072.69,3035.83,2236.9,2236.9,0.2665,0.2565,0.3744,3.0,0.178493,26.75,4.012,18.725,8.025,0.00178493,0.00132171,0.00023196,0.0015029
79,0.4597,0.2353,0,45,-45,-45,45,0,62719.86,4109.27,3903.81,2315.26,1616.9,1616.9,0.2551,0.2451,0.3025,3.0,0.41048,47.231,7.085,33.062,14.169,0.0041048,0.00306,0.00052714,0.00344815
80,0.4721,0.2544,0,45,-45,-45,45,0,65162.27,4096.04,3891.24,2249.04,1657.39,1657.39,0.3083,0.2983,0.3495,3.0,0.178794,20.37,3.056,14.259,6.111,0.00178794,0.00135861,0.00021883,0.00149196
81,0.4825,0.2728,45,-45,45,-45,45,-45,64784.96,4190.68,3981.14,2535.67,1778.18,1778.18,0.2689,0.2589,0.3651,3.0,0.468995,56.091,8.414,39.264,16.827,0.00468995,0.00331811,0.00060606,0.0040154
82,0.5137,0.2759,45,-45,45,-45,45,-45,70846.37,4718.42,4482.5,2612.8,1829.72,1829.72,0.2424,0.2324,0.3277,3.0,0.318816,41.906,6.286,29.334,12.572,0.00318816,0.0024058,0.00041405,0.0026644
83,0.4538,0.1999,90,45,0,0,45,90,63338.72,4288.14,4073.74,2284.35,1655.86,1655.86,0.2501,0.2401,0.3115,3.0,0.4055,47.88,7.182,33.516,14.364,0.004055,0.00314402,0.00052916,0.00334971
84,0.5886,0.2008,0,0,90,90,0,0,77900.39,5289.89,5025.4,2938.31,2150.04,2150.04,0.2868,0.2768,0.3102,3.0,0.255398,37.656,5.648,26.359,11.297,0.00255398,0.00192234,0.00033837,0.00213556
85,0.6295,0.2856,0,45,-45,-45,45,0,84795.9,5553.23,5275.57,3072.28,2228.67,2228.67,0.2931,0.2831,0.3669,3.0,0.259407,40.13,6.02,28.091,12.039,0.00259407,0.00195931,0.00033128,0.00216795
86,0.4536,0.2515,0,60,-60,-60,60,0,62471.34,4088.53,3884.1,2217.46,1533.53,1533.53,0.2717,0.2617,0.3542,3.0,0.173086,19.601,2.94,13.721,5.88,0.00173086,0.00132593,0.00021963,0.00143826
87,0.5952,0.248,0,0,90,90,0,0,79962.85,5388.97,5119.52,2963.64,2054.14,2054.14,0.2816,0.2716,0.3326,3.0,0.354493,53.102,7.965,37.171,15.931,0.00354493,0.00268765,0.00046486,0.00295613
88,0.4688,0.2868,45,45,-45,-45,45,45,63582.87,4260.31,4047.29,2275.71,1616.79,1616.79,0.256,0.246,0.3687,3.0,0.24851,29.182,4.377,20.427,8.755,0.0024851,0.00192348,0.00032127,0.0020549
89,0.6325,0.2055,45,45,-45,-45,45,45,85424.67,5697.29,5412.42,3155.53,2274.52,2274.52,0.2985,0.2885,0.3626,3.0,0.227209,36.062,5.409,25.243,10.819,0.00227209,0.00171422,0.0002955,0.00189889
90,0.564,0.1926,0,0,90,90,0,0,75234.74,4941.73,4694.64,2800.36,2045.33,2045.33,0.2995,0.2895,0.3019,3.0,0.441137,61.136,9.17,42.795,18.341,0.00441137,0.00327473,0.00056882,0.00371142
91,0.6458,0.2253,45,45,-45,-45,45,45,87346.33,5867.43,5574.05,3419.96,2303.02,2303.02,0.2727,0.2627,0.3481,3.0,0.312837,51.85,7.777,36.295,15.555,0.00312837,0.00227414,0.00041553,0.00265107
92,0.6371,0.2361,45,45,-45,-45,45,45,86042.6,5775.47,5486.7,3186.22,2246.6,2246.6,0.2948,0.2848,0.3272,3.0,0.119162,19.149,2.872,13.404,5.745,0.00119162,0.00090148,0.00015579,0.00099466
93,0.641,0.2092,0,30,-30,-30,30,0,86633.03,5664.79,5381.55,3254.76,2176.32,2176.32,0.2818,0.2718,0.3375,3.0,0.082059,13.087,1.963,9.161,3.926,0.00082059,0.00060311,0.00010574,0.00069305
94,0.5019,0.1854,90,45,0,0,45,90,68624.01,4526.44,4300.12,2395.92,1658.68,1658.68,0.2602,0.2502,0.3236,3.0,0.278802,34.697,5.205,24.288,10.409,0.00278802,0.00217228,0.00035393,0.00229965
95,0.603,0.2852,0,90,90,90,90,0,80066.37,5250.85,4988.31,2949.2,2124.81,2124.81,0.2644,0.2544,0.3442,3.0,0.422479,62.061,9.309,43.443,18.618,0.00422479,0.00315652,0.00054259,0.00354579
96,0.4694,0.2815,45,45,-45,-45,45,45,62699.13,4163.3,3955.14,2349.29,1627.3,1627.3,0.3082,0.2982,0.3467,3.0,0.360025,41.979,6.297,29.385,12.594,0.00360025,0.0026803,0.00046867,0.00302492
97,0.597,0.2155,90,45,0,0,45,90,80721.56,5351.12,5083.56,3080.43,2058.48,2058.48,0.2497,0.2397,0.3717,3.0,0.195646,29.482,4.422,20.637,8.845,0.00195646,0.00143561,0.00025566,0.00165285
98,0.4701,0.2117,0,30,-30,-30,30,0,62558.58,4290.27,4075.75,2383.73,1614.17,1614.17,0.2968,0.2868,0.3681,3.0,0.462041,55.245,8.287,38.672,16.574,0.00462041,0.0034764,0.00061817,0.00386307
99,0.6249,0.2207,0,0,90,90,0,0,82106.57,5576.55,5297.72,3072.55,2193.16,2193.16,0.3022,0.2922,0.3414,3.0,0.256137,39.72,5.958,27.804,11.916,0.00256137,0.0019391,0.00033863,0.0021368
100,0.5481,0.2436,0,45,-45,-45,45,0,73717.69,4944.45,4697.23,2740.97,1940.84,1940.84,0.2786,0.2686,0.3763,3.0,0.281137,38.731,5.81,27.112,11.619,0.00281137,0.00211955,0.00036777,0.00234995
101,0.4827,0.2465,0,45,-45,-45,45,0,66294.92,4474.33,4250.62,2426.27,1733.82,1733.82,0.2887,0.2787,0.3372,3.0,0.149381,18.503,2.775,12.952,5.551,0.00149381,0.00114389,0.00019537,0.00124059
102,0.5301,0.2438,45,-45,45,-45,45,-45,68045.47,4828.25,4586.83,2431.55,1769.14,1769.14,0.2522,0.2422,0.3737,3.0,0.13557,17.696,2.654,12.387,5.309,0.0013557,0.00109164,0.00018204,0.00109952
103,0.5183,0.186,0,90,90,90,90,0,72658.96,4664.21,4431.0,2615.87,1894.81,1894.81,0.3139,0.3039,0.335,3.0,0.205049,26.754,4.013,18.728,8.026,0.00205049,0.00153416,0.00025775,0.00172083
104,0.5778,0.1803,90,45,0,0,45,90,77696.37,5088.9,4834.45,2944.48,2024.04,2024.04,0.2522,0.2422,0.3506,3.0,0.466325,66.932,10.04,46.853,20.08,0.00466325,0.00340972,0.00060302,0.00394578
105,0.5286,0.2906,0,30,-30,-30,30,0,72684.65,4695.42,4460.65,2557.92,1872.24,1872.24,0.316,0.306,0.3274,3.0,0.195797,25.503,3.825,17.852,7.651,0.00195797,0.00149552,0.00024561,0.00162942
106,0.4854,0.2614,0,0,90,90,0,0,66293.74,4158.38,3950.46,2447.1,1683.93,1683.93,0.2928,0.2828,0.3242,3.0,0.471743,55.615,8.342,38.931,16.685,0.00471743,0.00340906,0.00058725,0.00401228
107,0.6395,0.224,0,30,-30,-30,30,0,86756.73,5870.59,5577.06,3204.81,2244.81,2244.81,0.2735,0.2635,0.3518,3.0,0.324908,52.903,7.935,37.032,15.871,0.00324908,0.00247612,0.00042685,0.00270347
108,0.5185,0.229,0,30,-30,-30,30,0,69997.38,4717.28,4481.42,2632.57,1795.91,1795.91,0.293,0.283,0.3016,3.0,0.246958,32.518,4.878,22.762,9.755,0.00246958,0.00185282,0.00032519,0.002068
109,0.5153,0.2037,45,45,-45,-45,45,45,68312.71,4484.63,4260.4,2579.68,1789.89,1789.89,0.2511,0.2411,0.3227,3.0,0.414853,52.389,7.858,36.673,15.717,0.00414853,0.00304628,0.00053683,0.0035046
110,0.5849,0.2892,90,45,0,0,45,90,79707.25,4948.33,4700.92,2902.87,1938.31,1938.31,0.2604,0.2504,0.35,3.0,0.136001,19.067,2.86,13.347,5.72,0.00136001,0.00098524,0.00016745,0.00115596
111,0.5141,0.2971,0,30,-30,-30,30,0,69985.45,4547.7,4320.31,2570.41,1848.65,1848.65,0.2755,0.2655,0.3749,3.0,0.235944,30.075,4.511,21.053,9.023,0.00235944,0.0017551,0.00030082,0.001984
