Sl.No,Fiber Volume Fraction (%),Ply Thickness (mm),Load (N),ModelingPly.1.ply_angle,ModelingPly.2.ply_angle,ModelingPly.3.ply_angle,ModelingPly.4.ply_angle,ModelingPly.5.ply_angle,ModelingPly.6.ply_angle,Laminate Family,Equivalent Stress Maximum (MPa),Equivalent Elastic Strain Maximum (mm/mm),Total Deformation Maximum (mm),Inverse Reserve Factor Maximum,Fail Status
41,44.0,0.2,2420,0,90,90,90,90,0,Cross-Ply,201.286,0.002876,0.43133,1.075,No Fail
42,44.1,0.2,4642,0,90,90,90,90,0,Cross-Ply,491.629,0.007023,1.05349,1.905,No Fail
43,44.2,0.2,2268,0,90,90,90,90,0,Cross-Ply,202.605,0.002894,0.43415,1.079,No Fail
44,44.3,0.2,3283,0,90,90,90,90,0,Cross-Ply,257.726,0.003682,0.55227,1.236,No Fail
45,44.4,0.2,1665,0,90,90,90,90,0,Cross-Ply,163.768,0.00234,0.35093,0.968,FAIL
46,44.5,0.2,3696,0,90,90,90,90,0,Cross-Ply,429.406,0.006134,0.92016,1.727,No Fail
47,44.6,0.2,2978,0,90,90,90,90,0,Cross-Ply,244.483,0.003493,0.52389,1.199,No Fail
48,44.7,0.2,2836,0,90,90,90,90,0,Cross-Ply,321.922,0.004599,0.68983,1.42,No Fail
49,44.8,0.2,3352,0,90,90,90,90,0,Cross-Ply,266.963,0.003814,0.57206,1.263,No Fail
50,44.9,0.2,4513,0,90,90,90,90,0,Cross-Ply,423.498,0.00605,0.9075,1.71,No Fail
51,45.0,0.2,4023,0,90,90,90,90,0,Cross-Ply,485.458,0.006935,1.04027,1.887,No Fail
52,45.1,0.2,3379,0,90,90,90,90,0,Cross-Ply,312.095,0.004458,0.66877,1.392,No Fail
53,45.2,0.2,3743,0,90,90,90,90,0,Cross-Ply,414.903,0.005927,0.88908,1.685,No Fail
54,45.3,0.2,3022,0,90,90,90,90,0,Cross-Ply,340.137,0.004859,0.72886,1.472,No Fail
55,45.4,0.2,4838,0,90,90,90,90,0,Cross-Ply,534.771,0.00764,1.14594,2.028,No Fail
56,45.5,0.2,2422,0,90,90,90,90,0,Cross-Ply,160.073,0.002287,0.34301,0.957,FAIL
57,45.6,0.2,2125,0,90,90,90,90,0,Cross-Ply,170.46,0.002435,0.36527,0.987,FAIL
58,45.7,0.2,4547,0,90,90,90,90,0,Cross-Ply,435.713,0.006224,0.93367,1.745,No Fail
59,45.8,0.2,3736,0,90,90,90,90,0,Cross-Ply,409.8,0.005854,0.87814,1.671,No Fail
60,45.9,0.2,2035,0,90,90,90,90,0,Cross-Ply,144.228,0.00206,0.30906,0.912,FAIL
61,46.0,0.2,3388,0,90,90,90,90,0,Cross-Ply,302.542,0.004322,0.6483,1.364,No Fail
62,46.1,0.2,3356,0,90,90,90,90,0,Cross-Ply,296.245,0.004232,0.63481,1.346,No Fail
63,46.2,0.2,2635,0,90,90,90,90,0,Cross-Ply,303.685,0.004338,0.65075,1.368,No Fail
64,46.3,0.2,4752,0,90,90,90,90,0,Cross-Ply,580.673,0.008295,1.2443,2.159,No Fail
65,46.4,0.2,4411,0,90,90,90,90,0,Cross-Ply,422.238,0.006032,0.9048,1.706,No Fail
66,46.5,0.2,1703,0,90,90,90,90,0,Cross-Ply,140.17,0.002002,0.30036,0.9,FAIL
67,46.6,0.2,4814,0,90,90,90,90,0,Cross-Ply,475.593,0.006794,1.01913,1.859,No Fail
68,46.7,0.2,3201,0,90,90,90,90,0,Cross-Ply,367.221,0.005246,0.7869,1.549,No Fail
69,46.8,0.2,4162,0,90,90,90,90,0,Cross-Ply,496.262,0.007089,1.06342,1.918,No Fail
70,46.9,0.2,1949,0,90,90,90,90,0,Cross-Ply,112.227,0.001603,0.24049,0.821,FAIL
71,47.0,0.2,3424,0,90,90,90,90,0,Cross-Ply,345.272,0.004932,0.73987,1.486,No Fail
72,47.1,0.2,4554,0,90,90,90,90,0,Cross-Ply,522.077,0.007458,1.11874,1.992,No Fail
73,47.2,0.2,2241,0,90,90,90,90,0,Cross-Ply,195.997,0.0028,0.41999,1.06,No Fail
74,47.3,0.2,4055,0,90,90,90,90,0,Cross-Ply,420.041,0.006001,0.90009,1.7,No Fail
75,47.4,0.2,2591,0,90,90,90,90,0,Cross-Ply,271.461,0.003878,0.5817,1.276,No Fail
76,47.5,0.2,3775,0,90,90,90,90,0,Cross-Ply,322.884,0.004613,0.69189,1.423,No Fail
77,47.6,0.2,3312,0,90,90,90,90,0,Cross-Ply,335.291,0.00479,0.71848,1.458,No Fail
78,47.7,0.2,2286,0,90,90,90,90,0,Cross-Ply,241.838,0.003455,0.51822,1.191,No Fail
79,47.8,0.2,3559,0,90,90,90,90,0,Cross-Ply,381.171,0.005445,0.8168,1.589,No Fail
80,47.9,0.2,2271,0,90,90,90,90,0,Cross-Ply,225.365,0.00322,0.48293,1.144,No Fail
81,48.0,0.2,3709,0,90,90,90,90,0,Cross-Ply,436.198,0.006231,0.93471,1.746,No Fail
82,48.1,0.2,4669,0,90,90,90,90,0,Cross-Ply,542.084,0.007744,1.16161,2.049,No Fail
83,48.2,0.2,1748,0,90,90,90,90,0,Cross-Ply,73.264,0.001047,0.15699,0.709,FAIL
84,48.3,0.2,3841,0,90,90,90,90,0,Cross-Ply,431.651,0.006166,0.92497,1.733,No Fail
85,48.4,0.2,1963,0,90,90,90,90,0,Cross-Ply,186.849,0.002669,0.40039,1.034,No Fail
86,48.5,0.2,3499,0,90,90,90,90,0,Cross-Ply,294.334,0.004205,0.63072,1.341,No Fail
87,48.6,0.2,4246,0,90,90,90,90,0,Cross-Ply,454.102,0.006487,0.97307,1.797,No Fail
88,48.7,0.2,2166,0,90,90,90,90,0,Cross-Ply,135.38,0.001934,0.2901,0.887,FAIL
89,48.8,0.2,3009,0,90,90,90,90,0,Cross-Ply,340.351,0.004862,0.72932,1.472,No Fail
90,48.9,0.2,3135,0,90,90,90,90,0,Cross-Ply,313.853,0.004484,0.67254,1.397,No Fail
91,49.0,0.2,3857,0,90,90,90,90,0,Cross-Ply,368.856,0.005269,0.79041,1.554,No Fail
92,49.1,0.2,1844,0,90,90,90,90,0,Cross-Ply,69.559,0.000994,0.14906,0.699,FAIL
93,49.2,0.2,2688,0,90,90,90,90,0,Cross-Ply,257.612,0.00368,0.55203,1.236,No Fail
94,49.3,0.2,2370,0,90,90,90,90,0,Cross-Ply,155.138,0.002216,0.33244,0.943,FAIL
95,49.4,0.2,3070,0,90,90,90,90,0,Cross-Ply,336.152,0.004802,0.72033,1.46,No Fail
96,49.5,0.2,2475,0,90,90,90,90,0,Cross-Ply,226.999,0.003243,0.48643,1.149,No Fail
97,49.6,0.2,4731,0,90,90,90,90,0,Cross-Ply,547.574,0.007822,1.17337,2.064,No Fail
98,49.7,0.2,4515,0,90,90,90,90,0,Cross-Ply,493.45,0.007049,1.05739,1.91,No Fail
99,49.8,0.2,1677,0,90,90,90,90,0,Cross-Ply,104.729,0.001496,0.22442,0.799,FAIL
100,49.9,0.2,4426,0,90,90,90,90,0,Cross-Ply,408.339,0.005833,0.87501,1.667,No Fail
101,50.0,0.2,4742,0,90,90,90,90,0,Cross-Ply,454.074,0.006487,0.97302,1.797,No Fail
102,50.1,0.2,2082,0,90,90,90,90,0,Cross-Ply,118.808,0.001697,0.25459,0.839,FAIL
103,50.2,0.2,2248,0,90,90,90,90,0,Cross-Ply,188.647,0.002695,0.40424,1.039,No Fail
104,50.3,0.2,1705,0,90,90,90,90,0,Cross-Ply,128.152,0.001831,0.27461,0.866,FAIL
105,50.4,0.2,4949,0,90,90,90,90,0,Cross-Ply,559.188,0.007988,1.19826,2.098,No Fail
106,50.5,0.2,4244,0,90,90,90,90,0,Cross-Ply,481.234,0.006875,1.03122,1.875,No Fail
107,50.6,0.2,2981,0,90,90,90,90,0,Cross-Ply,289.368,0.004134,0.62008,1.327,No Fail
108,50.7,0.2,4984,0,90,90,90,90,0,Cross-Ply,487.519,0.006965,1.04468,1.893,No Fail
109,50.8,0.2,4014,0,90,90,90,90,0,Cross-Ply,412.543,0.005893,0.88402,1.679,No Fail
110,50.9,0.2,2538,0,90,90,90,90,0,Cross-Ply,270.646,0.003866,0.57996,1.273,No Fail
111,51.0,0.2,3527,0,90,90,90,90,0,Cross-Ply,293.712,0.004196,0.62938,1.339,No Fail
112,51.1,0.2,4118,0,90,90,90,90,0,Cross-Ply,427.995,0.006114,0.91713,1.723,No Fail
113,51.2,0.2,3545,0,90,90,90,90,0,Cross-Ply,416.344,0.005948,0.89217,1.69,No Fail
114,51.3,0.2,4485,0,90,90,90,90,0,Cross-Ply,481.58,0.00688,1.03196,1.876,No Fail
115,51.4,0.2,4863,0,90,90,90,90,0,Cross-Ply,577.099,0.008244,1.23664,2.149,No Fail
116,51.5,0.2,2150,0,90,90,90,90,0,Cross-Ply,229.276,0.003275,0.49131,1.155,No Fail
117,51.6,0.2,3863,0,90,90,90,90,0,Cross-Ply,387.404,0.005534,0.83015,1.607,No Fail
118,51.7,0.2,1920,0,90,90,90,90,0,Cross-Ply,178.341,0.002548,0.38216,1.01,No Fail
119,51.8,0.2,2362,0,90,90,90,90,0,Cross-Ply,150.234,0.002146,0.32193,0.929,FAIL
120,51.9,0.2,3668,0,90,90,90,90,0,Cross-Ply,361.678,0.005167,0.77502,1.533,No Fail
121,52.0,0.2,3543,0,90,90,90,90,0,Cross-Ply,368.319,0.005262,0.78925,1.552,No Fail
122,52.1,0.2,4771,0,90,90,90,90,0,Cross-Ply,516.827,0.007383,1.10749,1.977,No Fail
123,52.2,0.2,4007,0,90,90,90,90,0,Cross-Ply,457.918,0.006542,0.98125,1.808,No Fail
124,52.3,0.2,2885,0,90,90,90,90,0,Cross-Ply,305.347,0.004362,0.65431,1.372,No Fail
125,52.4,0.2,2550,0,90,90,90,90,0,Cross-Ply,203.936,0.002913,0.437,1.083,No Fail
126,52.5,0.2,4132,0,90,90,90,90,0,Cross-Ply,459.626,0.006566,0.98491,1.813,No Fail
127,52.6,0.2,3104,0,90,90,90,90,0,Cross-Ply,356.152,0.005088,0.76318,1.518,No Fail
128,52.7,0.2,4986,0,90,90,90,90,0,Cross-Ply,482.401,0.006891,1.03372,1.878,No Fail
129,52.8,0.2,2246,0,90,90,90,90,0,Cross-Ply,242.807,0.003469,0.5203,1.194,No Fail
130,52.9,0.2,4766,0,90,90,90,90,0,Cross-Ply,550.159,0.007859,1.17891,2.072,No Fail
131,53.0,0.2,4577,0,90,90,90,90,0,Cross-Ply,443.949,0.006342,0.95132,1.768,No Fail
132,53.1,0.2,2052,0,90,90,90,90,0,Cross-Ply,178.101,0.002544,0.38165,1.009,No Fail
133,53.2,0.2,3962,0,90,90,90,90,0,Cross-Ply,368.981,0.005271,0.79067,1.554,No Fail
134,53.3,0.2,4955,0,90,90,90,90,0,Cross-Ply,529.36,0.007562,1.13434,2.012,No Fail
135,53.4,0.2,1527,0,90,90,90,90,0,Cross-Ply,71.289,0.001018,0.15276,0.704,FAIL
136,53.5,0.2,2548,0,90,90,90,90,0,Cross-Ply,184.455,0.002635,0.39526,1.027,No Fail
137,53.6,0.2,4786,0,90,90,90,90,0,Cross-Ply,500.218,0.007146,1.0719,1.929,No Fail
138,53.7,0.2,1904,0,90,90,90,90,0,Cross-Ply,189.602,0.002709,0.40629,1.042,No Fail
139,53.8,0.2,3436,0,90,90,90,90,0,Cross-Ply,395.461,0.005649,0.84742,1.63,No Fail
140,53.9,0.2,3617,0,90,90,90,90,0,Cross-Ply,397.481,0.005678,0.85175,1.636,No Fail
141,54.0,0.2,2213,0,90,90,90,90,0,Cross-Ply,153.337,0.002191,0.32858,0.938,FAIL
142,54.1,0.2,2424,0,90,90,90,90,0,Cross-Ply,192.241,0.002746,0.41195,1.049,No Fail
143,54.2,0.2,4669,0,90,90,90,90,0,Cross-Ply,507.779,0.007254,1.0881,1.951,No Fail
144,54.3,0.2,1823,0,90,90,90,90,0,Cross-Ply,84.956,0.001214,0.18205,0.743,FAIL
145,54.4,0.2,2468,0,90,90,90,90,0,Cross-Ply,225.914,0.003227,0.4841,1.145,No Fail
146,54.5,0.2,4199,0,90,90,90,90,0,Cross-Ply,509.789,0.007283,1.09241,1.957,No Fail
147,54.6,0.2,2417,0,90,90,90,90,0,Cross-Ply,190.924,0.002727,0.40912,1.045,No Fail
148,54.7,0.2,3431,0,90,90,90,90,0,Cross-Ply,311.034,0.004443,0.6665,1.389,No Fail
149,54.8,0.2,1534,0,90,90,90,90,0,Cross-Ply,102.013,0.001457,0.2186,0.791,FAIL
150,54.9,0.2,4591,0,90,90,90,90,0,Cross-Ply,552.063,0.007887,1.18299,2.077,No Fail
151,55.0,0.2,3410,0,90,90,90,90,0,Cross-Ply,286.744,0.004096,0.61445,1.319,No Fail
152,55.1,0.2,3539,0,90,90,90,90,0,Cross-Ply,312.953,0.004471,0.67061,1.394,No Fail
153,55.2,0.2,1946,0,90,90,90,90,0,Cross-Ply,193.331,0.002762,0.41428,1.052,No Fail
154,55.3,0.2,4646,0,90,90,90,90,0,Cross-Ply,528.639,0.007552,1.1328,2.01,No Fail
155,55.4,0.2,4512,0,90,90,90,90,0,Cross-Ply,446.556,0.006379,0.95691,1.776,No Fail
156,55.5,0.2,2235,0,90,90,90,90,0,Cross-Ply,132.397,0.001891,0.28371,0.878,FAIL
157,55.6,0.2,1860,0,90,90,90,90,0,Cross-Ply,168.553,0.002408,0.36118,0.982,FAIL
158,55.7,0.2,4594,0,90,90,90,90,0,Cross-Ply,459.495,0.006564,0.98463,1.813,No Fail
159,55.8,0.2,3672,0,90,90,90,90,0,Cross-Ply,387.104,0.00553,0.82951,1.606,No Fail
160,55.9,0.2,4755,0,90,90,90,90,0,Cross-Ply,563.204,0.008046,1.20687,2.109,No Fail
161,56.0,0.2,4917,0,90,90,90,90,0,Cross-Ply,490.879,0.007013,1.05188,1.903,No Fail
162,56.1,0.2,4585,0,90,90,90,90,0,Cross-Ply,454.192,0.006488,0.97327,1.798,No Fail
163,56.2,0.2,4078,0,90,90,90,90,0,Cross-Ply,491.021,0.007015,1.05219,1.903,No Fail
164,56.3,0.2,4758,0,90,90,90,90,0,Cross-Ply,540.188,0.007717,1.15755,2.043,No Fail
165,56.4,0.2,4524,0,90,90,90,90,0,Cross-Ply,447.303,0.00639,0.95851,1.778,No Fail
166,56.5,0.2,2434,0,90,90,90,90,0,Cross-Ply,170.245,0.002432,0.36481,0.986,FAIL
167,56.6,0.2,1878,0,90,90,90,90,0,Cross-Ply,100.007,0.001429,0.2143,0.786,FAIL
168,56.7,0.2,4505,0,90,90,90,90,0,Cross-Ply,435.544,0.006222,0.93331,1.744,No Fail
169,56.8,0.2,4358,0,90,90,90,90,0,Cross-Ply,501.902,0.00717,1.0755,1.934,No Fail
170,56.9,0.2,2568,0,90,90,90,90,0,Cross-Ply,234.238,0.003346,0.50194,1.169,No Fail
171,57.0,0.2,2297,0,90,90,90,90,0,Cross-Ply,154.164,0.002202,0.33035,0.94,FAIL
172,57.1,0.2,2176,0,90,90,90,90,0,Cross-Ply,240.102,0.00343,0.5145,1.186,No Fail
173,57.2,0.2,4525,0,90,90,90,90,0,Cross-Ply,510.0,0.007286,1.09286,1.957,No Fail
174,57.3,0.2,2477,0,90,90,90,90,0,Cross-Ply,155.326,0.002219,0.33284,0.944,FAIL
175,57.4,0.2,2899,0,90,90,90,90,0,Cross-Ply,253.976,0.003628,0.54423,1.226,No Fail
176,57.5,0.2,3377,0,90,90,90,90,0,Cross-Ply,272.22,0.003889,0.58333,1.278,No Fail
177,57.6,0.2,1904,0,90,90,90,90,0,Cross-Ply,83.309,0.00119,0.17852,0.738,FAIL
178,57.7,0.2,2125,0,90,90,90,90,0,Cross-Ply,108.405,0.001549,0.2323,0.81,FAIL
179,57.8,0.2,2429,0,90,90,90,90,0,Cross-Ply,149.591,0.002137,0.32055,0.927,FAIL
180,57.9,0.2,3021,0,90,90,90,90,0,Cross-Ply,340.459,0.004864,0.72956,1.473,No Fail
181,58.0,0.2,2598,0,90,90,90,90,0,Cross-Ply,202.751,0.002896,0.43447,1.079,No Fail
182,58.1,0.2,3290,0,90,90,90,90,0,Cross-Ply,310.258,0.004432,0.66484,1.386,No Fail
183,58.2,0.2,3518,0,90,90,90,90,0,Cross-Ply,369.538,0.005279,0.79187,1.556,No Fail
184,58.3,0.2,3981,0,90,90,90,90,0,Cross-Ply,447.835,0.006398,0.95965,1.78,No Fail
185,58.4,0.2,4740,0,90,90,90,90,0,Cross-Ply,581.392,0.008306,1.24584,2.161,No Fail
186,58.5,0.2,4018,0,90,90,90,90,0,Cross-Ply,415.301,0.005933,0.88993,1.687,No Fail
187,58.6,0.2,3847,0,90,90,90,90,0,Cross-Ply,365.893,0.005227,0.78406,1.545,No Fail
188,58.7,0.2,1745,0,90,90,90,90,0,Cross-Ply,138.251,0.001975,0.29625,0.895,FAIL
189,58.8,0.2,2656,0,90,90,90,90,0,Cross-Ply,218.873,0.003127,0.46901,1.125,No Fail
190,58.9,0.2,4468,0,90,90,90,90,0,Cross-Ply,504.346,0.007205,1.08074,1.941,No Fail
191,59.0,0.2,2551,0,90,90,90,90,0,Cross-Ply,197.741,0.002825,0.42373,1.065,No Fail
192,59.1,0.2,2929,0,90,90,90,90,0,Cross-Ply,301.852,0.004312,0.64683,1.362,No Fail
193,59.2,0.2,2535,0,90,90,90,90,0,Cross-Ply,237.476,0.003393,0.50888,1.179,No Fail
194,59.3,0.2,2972,0,90,90,90,90,0,Cross-Ply,331.444,0.004735,0.71024,1.447,No Fail
195,59.4,0.2,3871,0,90,90,90,90,0,Cross-Ply,342.793,0.004897,0.73456,1.479,No Fail
196,59.5,0.2,3654,0,90,90,90,90,0,Cross-Ply,319.198,0.00456,0.68399,1.412,No Fail
197,59.6,0.2,3418,0,90,90,90,90,0,Cross-Ply,367.422,0.005249,0.78733,1.55,No Fail
198,59.7,0.2,2504,0,90,90,90,90,0,Cross-Ply,286.501,0.004093,0.61393,1.319,No Fail
199,59.8,0.2,3530,0,90,90,90,90,0,Cross-Ply,365.208,0.005217,0.78259,1.543,No Fail
200,59.9,0.2,3127,0,90,90,90,90,0,Cross-Ply,282.403,0.004034,0.60515,1.307,No Fail
201,60.0,0.2,2248,0,90,90,90,90,0,Cross-Ply,194.365,0.002777,0.4165,1.055,No Fail
202,60.1,0.2,4654,0,90,90,90,90,0,Cross-Ply,507.885,0.007255,1.08832,1.951,No Fail
203,60.2,0.2,2094,0,90,90,90,90,0,Cross-Ply,127.322,0.001819,0.27283,0.864,FAIL
204,60.3,0.2,3304,0,90,90,90,90,0,Cross-Ply,380.946,0.005442,0.81631,1.588,No Fail
205,60.4,0.2,2673,0,90,90,90,90,0,Cross-Ply,225.309,0.003219,0.4828,1.144,No Fail
206,60.5,0.2,4129,0,90,90,90,90,0,Cross-Ply,392.994,0.005614,0.84213,1.623,No Fail
207,60.6,0.2,2286,0,90,90,90,90,0,Cross-Ply,168.975,0.002414,0.36209,0.983,FAIL
208,60.7,0.2,1585,0,90,90,90,90,0,Cross-Ply,138.999,0.001986,0.29786,0.897,FAIL
209,60.8,0.2,3163,0,90,90,90,90,0,Cross-Ply,341.194,0.004874,0.73113,1.475,No Fail
210,60.9,0.2,1755,0,90,90,90,90,0,Cross-Ply,75.481,0.001078,0.16175,0.716,FAIL
211,61.0,0.2,3704,0,90,90,90,90,0,Cross-Ply,390.245,0.005575,0.83624,1.615,No Fail
212,61.1,0.2,3937,0,90,90,90,90,0,Cross-Ply,450.05,0.006429,0.96439,1.786,No Fail
213,61.2,0.2,2354,0,90,90,90,90,0,Cross-Ply,201.463,0.002878,0.43171,1.076,No Fail
214,61.3,0.2,1519,0,90,90,90,90,0,Cross-Ply,69.962,0.000999,0.14992,0.7,FAIL
215,61.4,0.2,4195,0,90,90,90,90,0,Cross-Ply,410.634,0.005866,0.87993,1.673,No Fail
216,61.5,0.2,2988,0,90,90,90,90,0,Cross-Ply,336.348,0.004805,0.72075,1.461,No Fail
217,61.6,0.2,4853,0,90,90,90,90,0,Cross-Ply,573.363,0.008191,1.22864,2.138,No Fail
218,61.7,0.2,1676,0,90,90,90,90,0,Cross-Ply,108.83,0.001555,0.23321,0.811,FAIL
219,61.8,0.2,4469,0,90,90,90,90,0,Cross-Ply,513.037,0.007329,1.09937,1.966,No Fail
220,61.9,0.2,4305,0,90,90,90,90,0,Cross-Ply,464.002,0.006629,0.99429,1.826,No Fail
221,62.0,0.2,4958,0,90,90,90,90,0,Cross-Ply,522.286,0.007461,1.11918,1.992,No Fail
222,62.1,0.2,4825,0,90,90,90,90,0,Cross-Ply,514.319,0.007347,1.10211,1.969,No Fail
223,62.2,0.2,3644,0,90,90,90,90,0,Cross-Ply,319.377,0.004563,0.68438,1.413,No Fail
224,62.3,0.2,3267,0,90,90,90,90,0,Cross-Ply,292.263,0.004175,0.62628,1.335,No Fail
225,62.4,0.2,3418,0,90,90,90,90,0,Cross-Ply,297.482,0.00425,0.63746,1.35,No Fail
226,62.5,0.2,4103,0,90,90,90,90,0,Cross-Ply,379.137,0.005416,0.81244,1.583,No Fail
227,62.6,0.2,2407,0,90,90,90,90,0,Cross-Ply,211.089,0.003016,0.45233,1.103,No Fail
228,62.7,0.2,3732,0,90,90,90,90,0,Cross-Ply,415.964,0.005942,0.89135,1.688,No Fail
229,62.8,0.2,3325,0,90,90,90,90,0,Cross-Ply,293.753,0.004196,0.62947,1.339,No Fail
230,62.9,0.2,2461,0,90,90,90,90,0,Cross-Ply,198.133,0.00283,0.42457,1.066,No Fail
231,63.0,0.2,2500,0,90,90,90,90,0,Cross-Ply,275.779,0.00394,0.59095,1.288,No Fail
232,63.1,0.2,2619,0,90,90,90,90,0,Cross-Ply,265.839,0.003798,0.56966,1.26,No Fail
233,63.2,0.2,1984,0,90,90,90,90,0,Cross-Ply,146.629,0.002095,0.3142,0.919,FAIL
234,63.3,0.2,3929,0,90,90,90,90,0,Cross-Ply,444.078,0.006344,0.9516,1.769,No Fail
235,63.4,0.2,1725,0,90,90,90,90,0,Cross-Ply,90.426,0.001292,0.19377,0.758,FAIL
236,63.5,0.2,3399,0,90,90,90,90,0,Cross-Ply,350.883,0.005013,0.75189,1.503,No Fail
237,63.6,0.2,2224,0,90,90,90,90,0,Cross-Ply,194.675,0.002781,0.41716,1.056,No Fail
238,63.7,0.2,4667,0,90,90,90,90,0,Cross-Ply,516.576,0.00738,1.10695,1.976,No Fail
239,63.8,0.2,3934,0,90,90,90,90,0,Cross-Ply,398.233,0.005689,0.85336,1.638,No Fail
240,63.9,0.2,4180,0,90,90,90,90,0,Cross-Ply,394.616,0.005637,0.84561,1.627,No Fail
241,64.0,0.2,1521,0,90,90,90,90,0,Cross-Ply,106.514,0.001522,0.22824,0.804,FAIL
242,64.1,0.2,4137,0,90,90,90,90,0,Cross-Ply,455.673,0.00651,0.97644,1.802,No Fail
